	Erlotinib	AG1024	Imatinib	Trichostatin A	Etoposide	Fascaplysin	Methotrexate	Bortezomib-batch1	Paclitaxel	PS-1145	SAHA (Vorinostat)	Ixabepilone	Cisplatin	Geldanamycin	API-2(Tricir)	Pemetrexed	Purvalanol A	Rapamycin	Sunitinib Malate	Carboplatin	Docetaxel	Oxaliplatin	Nelfinavir	17-AAG	CPT-11(FD)	Doxorubicin(FD)	Iressa	Baicalein	Sorafenib	Mebendazole	Bortezomib-batch2	Cetuximab	AKT1-2 inhibitor	AZD6244	Lestaurtinib(CEP-701)	NSC663284	Oxamflatin	SB-3CT	TCS PIM-11	VX-680	Gemcitabine	BEZ235	5-FdUR	AS-252424	LBH589	MG-132	Nilotinib	Olomoucine II	PD98059(LC Labs)	TCS2312 dihydrochloride	Sodium Dichloroacetate	Tamoxifen	TPT(FD)	FTase inhibitor I	ICRF-193	PD184352	Rafi IV (L779450)	ZM447439	Disulfiram	AG1478	Vinorelbine	Glycyl H1152	SKI-606(Bosutinib)	XRP44X	NU6102	Epirubicin	ERKi II (FR180304)	Temsirolimus(Torisel)	IKK 16	BIBW2992	TPCA-1	Everolimus	PD173074	Z-Leu-Leu-Norvalinal	4-HC	4-HC+Dox Combo	Doxorubicin	TCS JNK 5a	Valproic acid	Z-Leu-Leu-Leu-al	Methyl Glyoxol	5-FU	Herceptin	QNZ	Bromopyruvate	GM6001	TAPI-0 (IC-1)	GW5074	Chloroquine	Ibandronate sodium salt	Chk2 inhibitor II	GW843682X	Ro 32-0432	DMSO	Sulindac sulfide	LY294002	CI1040	UO126	Celecoxib(Celebrex)	2-deoxy-D-glucose
SUM190PT	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	4.83E-08	      NA	       NA	       NA	3.32E-06	2.72E-07	       NA	       NA	      NA	       NA	       NA	2.72E-05	3.24E-08	1.10E-05	       NA	2.22E-05	       NA	       NA	2.13E-05	       NA	       NA	       NA	       NA	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	2.66E-08	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	2.38E-05	       NA	       NA	      NA	      NA	       NA	       NA	       NA	1.67E-04	       NA	      NA	       NA	       NA	       NA	9.54E-07	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	0.000259	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
T4	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	1.25E-08	      NA	       NA	       NA	4.87E-05	1.00E-04	       NA	       NA	      NA	       NA	       NA	2.84E-04	1.00E-05	3.58E-04	       NA	       NA	5.15E-05	9.18E-07	       NA	       NA	       NA	       NA	       NA	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	       NA	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
1%BT20	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	       NA	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
1%CAMA1	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	       NA	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
1%JIMT1	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	       NA	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
1%LY2	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	       NA	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
1%MDAMB157	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	       NA	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
1%MDAMB231	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	       NA	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
1%MDAMB361	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	       NA	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
1%MDAMB436D	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	       NA	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
1%MDAMB453	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	       NA	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
1%MDAMB468D	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	       NA	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
1%UACC812	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	       NA	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
1%UACC893D	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	       NA	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
CAL120	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	2.70E-08	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	       NA	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
CAL148	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	1.67E-07	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	       NA	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
CAL85	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	1.19E-08	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	       NA	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
EFM192A	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	3.08E-08	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	       NA	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
EFM192B	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	2.15E-08	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	       NA	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
EFM192C	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	3.34E-07	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	       NA	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
EFM19	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	1.30E-08	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	       NA	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
