	Erlotinib	AG1024	Imatinib	Trichostatin A	Etoposide	Fascaplysin	Methotrexate	Bortezomib-batch1	Paclitaxel	PS-1145	SAHA (Vorinostat)	Ixabepilone	Cisplatin	Geldanamycin	API-2(Tricir)	Pemetrexed	Purvalanol A	Rapamycin	Sunitinib Malate	Carboplatin	Docetaxel	Oxaliplatin	Nelfinavir	17-AAG	CPT-11(FD)	Doxorubicin(FD)	Iressa	Baicalein	Sorafenib	Mebendazole	Bortezomib-batch2	Cetuximab	AKT1-2 inhibitor	AZD6244	Lestaurtinib(CEP-701)	NSC663284	Oxamflatin	SB-3CT	TCS PIM-11	VX-680	Gemcitabine	BEZ235	5-FdUR	AS-252424	LBH589	MG-132	Nilotinib	Olomoucine II	PD98059(LC Labs)	TCS2312 dihydrochloride	Sodium Dichloroacetate	Tamoxifen	TPT(FD)	FTase inhibitor I	ICRF-193	PD184352	Rafi IV (L779450)	ZM447439	Disulfiram	AG1478	Vinorelbine	Glycyl H1152	SKI-606(Bosutinib)	XRP44X	NU6102	Epirubicin	ERKi II (FR180304)	Temsirolimus(Torisel)	IKK 16	BIBW2992	TPCA-1	Everolimus	PD173074	Z-Leu-Leu-Norvalinal	4-HC	4-HC+Dox Combo	Doxorubicin	TCS JNK 5a	Valproic acid	Z-Leu-Leu-Leu-al	Methyl Glyoxol	5-FU	Herceptin	QNZ	Bromopyruvate	GM6001	TAPI-0 (IC-1)	GW5074	Chloroquine	Ibandronate sodium salt	Chk2 inhibitor II	GW843682X	Ro 32-0432	DMSO	Sulindac sulfide	LY294002	CI1040	UO126	Celecoxib(Celebrex)	2-deoxy-D-glucose
ZR7530	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	3.33E-05	      NA	       NA	       NA	7.54E-05	1.00E-04	       NA	       NA	      NA	       NA	       NA	9.58E-04	1.00E-05	2.31E-04	1.68E-05	       NA	7.38E-05	9.52E-06	       NA	       NA	       NA	6.67E-05	       NA	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	3.33E-06	       NA	       NA	       NA	      NA	      NA	       NA	       NA	6.67E-05	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	9.85E-05	1.25E-04	5.50E-07	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
21MT1	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	2.45E-05	       NA	       NA	       NA	       NA	       NA	       NA	6.67E-05	8.96E-06	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	3.33E-06	       NA	       NA	       NA	      NA	      NA	       NA	       NA	6.67E-05	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	7.66E-07	1.01E-04	1.05E-04	5.50E-07	       NA	      NA	5.41E-06	0.00189	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
SUM44PE	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	1.67E-04	       NA	       NA	       NA	       NA	       NA	5.11E-07	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	1.67E-04	1.09E-04	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
MDAMB436	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	3.33E-05	      NA	       NA	       NA	7.64E-05	1.00E-04	       NA	       NA	      NA	1.67E-04	       NA	3.87E-04	1.00E-05	4.42E-04	       NA	4.49E-05	8.53E-05	9.20E-05	3.33E-05	       NA	       NA	       NA	       NA	6.85E-07	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	7.22E-03	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	3.86E-05	1.09E-04	       NA	      NA	      NA	       NA	       NA	       NA	1.67E-04	4.64E-05	      NA	       NA	       NA	       NA	5.56E-05	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	MAX	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	1.00E-04	      NA	6.67E-05	     NA	     NA
MDAMB468	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	1.12E-08	      NA	       NA	       NA	3.33E-05	1.31E-07	       NA	       NA	      NA	7.84E-05	       NA	1.02E-04	1.06E-08	3.47E-04	       NA	1.99E-05	8.53E-05	8.46E-06	3.33E-05	       NA	       NA	       NA	       NA	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	7.22E-04	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	6.03E-06	       NA	      NA	      NA	       NA	       NA	       NA	1.67E-04	7.83E-07	      NA	       NA	       NA	       NA	1.53E-06	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	0.0061501	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
UACC893	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	3.33E-05	      NA	       NA	       NA	2.05E-04	1.37E-07	       NA	       NA	      NA	2.31E-05	       NA	1.22E-03	1.00E-05	2.26E-04	       NA	4.76E-08	8.42E-05	1.28E-06	1.62E-05	       NA	       NA	       NA	       NA	6.85E-07	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	7.22E-04	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	6.32E-05	2.08E-06	       NA	      NA	      NA	       NA	       NA	       NA	5.74E-05	2.02E-06	      NA	       NA	       NA	       NA	1.17E-06	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	0.0039538	7.20E-06	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
21PT	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	2.50E-08	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	       NA	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
JIMT1	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	2.47E-08	      NA	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	       NA	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	3.33E-05	      NA	   NA	      NA	      NA	     NA	     NA
S1	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	3.33E-05	      NA	       NA	       NA	1.03E-04	1.00E-04	       NA	       NA	      NA	       NA	       NA	1.84E-04	1.00E-05	1.22E-04	       NA	1.00E-04	7.38E-05	3.80E-06	3.33E-05	       NA	       NA	       NA	       NA	6.85E-07	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	1.45E-04	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	3.59E-06	1.09E-04	       NA	      NA	      NA	       NA	       NA	       NA	1.67E-04	4.64E-05	      NA	       NA	       NA	       NA	1.34E-06	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	0.00894	     NA	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
SUM102PT	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	5.00E-04	2.47E-06	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	5.77E-07	3.33E-05	       NA	       NA	       NA	       NA	6.85E-07	       NA	   NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	   NA	       NA	   NA	       NA	      NA	       NA	9.92E-07	       NA	      NA	      NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	      NA	       NA	7.20E-06	      NA	       NA	      NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	     NA	     NA
