	Erlotinib	AG1024	Imatinib	Trichostatin A	Etoposide	Fascaplysin	Methotrexate	Bortezomib-batch1	Paclitaxel	PS-1145	SAHA (Vorinostat)	Ixabepilone	Cisplatin	Geldanamycin	API-2(Tricir)	Pemetrexed	Purvalanol A	Rapamycin	Sunitinib Malate	Carboplatin	Docetaxel	Oxaliplatin	Nelfinavir	17-AAG	CPT-11(FD)	Doxorubicin(FD)	Iressa	Baicalein	Sorafenib	Mebendazole	Bortezomib-batch2	Cetuximab	AKT1-2 inhibitor	AZD6244	Lestaurtinib(CEP-701)	NSC663284	Oxamflatin	SB-3CT	TCS PIM-11	VX-680	5-FU	Gemcitabine	BEZ235	5-FdUR	AS-252424	Ibandronate sodium salt	LBH589	MG-132	Olomoucine II	PD98059(LC Labs)	TCS2312 dihydrochloride	Sodium Dichloroacetate	Tamoxifen	TPT(FD)	FTase inhibitor I	ICRF-193	PD184352	Rafi IV (L779450)	ZM447439	Disulfiram	AG1478	Vinorelbine	Glycyl H1152	SKI-606(Bosutinib)	XRP44X	NU6102	Epirubicin	ERKi II (FR180304)	Temsirolimus(Torisel)	Valproic acid	IKK 16	BIBW2992	TPCA-1	Everolimus	PD173074	Z-Leu-Leu-Norvalinal	4-HC	4-HC+Dox Combo	Doxorubicin	TCS JNK 5a	Z-Leu-Leu-Leu-al	Methyl Glyoxol	Herceptin	QNZ	Bromopyruvate	GM6001	TAPI-0 (IC-1)	GW5074	Chloroquine	Chk2 inhibitor II	GW843682X	Ro 32-0432	DMSO	Sulindac sulfide	2-deoxy-D-glucose	LY294002	CI1040	UO126	Celecoxib(Celebrex)	Nilotinib
MDAMB157	6.67E-05	3.33E-05	3.05E-05	3.30E-05	9.49E-06	3.43E-07	3.33E-04	1.07E-08	8.22E-09	1.89E-03	3.25E-04	1.35E-08	4.43E-05	2.19E-08	3.33E-05	2.92E-03	1.67E-04	1.67E-04	7.23E-06	1.30E-04	2.53E-09	2.35E-05	9.46E-06	       NA	9.01E-06	5.28E-07	1.66E-05	9.28E-05	3.89E-04	2.32E-06	1.29E-08	6.85E-07	1.62E-05	5.00E-05	1.04E-06	1.55E-06	2.83E-06	1.67E-04	1.33E-04	1.80E-05	1.92E-02	       NA	3.33E-05	5.00E-03	3.33E-05	7.36E-05	1.83E-07	3.09E-07	6.98E-06	5.00E-05	2.48E-07	3.33E-06	1.67E-04	1.72E-06	6.67E-05	3.33E-05	      NA	2.74E-05	5.00E-05	5.63E-07	7.02E-05	1.55E-08	6.67E-05	1.54E-06	1.32E-06	6.44E-05	7.67E-07	1.00E-04	4.98E-05	0.00548	2.92E-06	4.09E-06	       NA	4.86E-05	6.63E-06	5.41E-07	7.94E-06	8.75E-06	1.20E-07	1.87E-04	4.82E-07	0.000905	      NA	3.33E-05	5.84E-08	3.33E-05	3.33E-05	3.33E-05	3.91E-06	      NA	      NA	      NA	3.33E-05	      NA	0.00285	   NA	      NA	      NA	      NA	MAX
MDAMB231ATCC	6.67E-05	3.33E-05	4.63E-05	3.61E-05	1.80E-05	4.65E-07	3.33E-04	3.12E-08	3.33E-05	1.89E-03	1.77E-04	3.85E-09	8.22E-05	1.00E-04	3.33E-05	2.92E-03	1.67E-04	1.35E-22	1.13E-05	5.47E-04	1.00E-05	4.00E-04	       NA	1.00E-04	7.38E-05	8.62E-05	3.33E-05	       NA	1.00E-03	       NA	       NA	6.85E-07	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	9.18E-03	1.45E-04	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	1.67E-04	4.48E-05	       NA	       NA	      NA	       NA	       NA	       NA	1.67E-04	4.64E-05	       NA	       NA	       NA	       NA	7.20E-07	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	      NA	       NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	      NA	       NA
CAMA1	6.67E-05	3.33E-05	2.52E-05	7.22E-06	1.50E-05	4.37E-07	3.33E-04	2.48E-08	2.09E-08	1.89E-03	1.19E-04	1.71E-09	6.31E-05	1.87E-07	3.33E-05	2.92E-03	1.67E-04	1.67E-04	1.13E-05	3.94E-04	       NA	3.60E-05	9.68E-06	4.01E-06	8.53E-05	4.19E-07	       NA	9.75E-05	1.98E-04	6.10E-07	1.40E-08	6.85E-07	1.33E-05	5.00E-05	7.75E-06	3.70E-06	1.33E-06	1.00E-04	1.33E-04	4.94E-05	1.50E-03	7.22E-03	3.33E-05	4.81E-03	6.67E-05	2.46E-04	8.07E-08	2.99E-07	1.08E-05	1.00E-04	1.66E-06	3.33E-06	4.83E-05	5.67E-06	3.33E-05	5.00E-05	6.67E-05	4.60E-05	4.31E-05	2.42E-05	4.84E-05	1.57E-08	3.33E-05	1.00E-04	2.00E-06	1.93E-05	       NA	1.00E-04	       NA	0.003631	5.12E-06	4.13E-06	1.33E-04	7.32E-08	3.02E-05	8.13E-07	3.41E-05	2.52E-05	2.22E-07	       NA	3.76E-07	0.00508	7.20E-06	      NA	1.61E-07	      NA	      NA	      NA	1.70E-05	6.67E-05	3.33E-05	3.33E-05	3.33E-05	1.33E-04	MAX	   NA	      NA	      NA	MAX	MAX
HCC1937	6.67E-05	3.33E-05	3.26E-05	3.93E-05	2.02E-05	7.54E-07	3.33E-04	1.03E-08	4.45E-08	1.89E-03	7.98E-04	2.26E-06	9.07E-06	4.58E-08	3.33E-05	2.92E-03	1.67E-04	1.18E-04	8.19E-06	9.65E-05	       NA	3.02E-05	1.10E-05	1.63E-07	1.80E-05	9.74E-07	2.91E-05	1.67E-04	1.98E-04	6.67E-05	       NA	6.85E-07	2.16E-05	5.00E-05	2.71E-06	2.15E-06	3.95E-06	1.00E-04	1.33E-04	2.14E-05	1.92E-02	7.22E-04	3.33E-05	5.00E-03	6.67E-05	1.94E-04	5.06E-07	2.50E-07	7.62E-06	1.00E-04	9.28E-07	3.33E-06	1.67E-04	       NA	3.33E-05	5.00E-05	3.33E-05	1.66E-05	1.00E-04	3.62E-06	4.92E-05	1.55E-05	6.67E-05	3.89E-06	1.33E-04	6.21E-05	6.00E-07	1.00E-04	5.01E-05	0.00504	2.97E-06	6.59E-06	6.67E-05	1.14E-05	1.16E-05	4.91E-07	1.41E-05	1.47E-05	5.50E-07	1.33E-04	1.23E-07	0.0005581	      NA	      NA	       NA	      NA	      NA	3.33E-05	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	      NA	MAX
ZR751	6.67E-05	3.33E-05	4.47E-05	3.42E-05	2.07E-05	6.37E-07	3.33E-04	7.71E-08	3.33E-05	1.89E-03	5.60E-04	1.89E-06	2.36E-05	3.44E-06	3.33E-05	2.92E-03	1.67E-04	       NA	1.80E-05	1.80E-04	1.00E-05	1.11E-05	1.83E-05	2.36E-07	1.56E-05	5.68E-07	3.33E-05	1.67E-04	9.17E-05	2.12E-06	7.08E-08	6.85E-07	5.00E-06	5.00E-05	1.05E-05	3.40E-06	8.99E-06	1.67E-04	1.33E-04	2.38E-05	7.29E-04	1.45E-04	3.33E-05	1.66E-03	1.85E-05	2.17E-04	8.94E-07	1.42E-06	1.33E-04	5.00E-05	3.47E-06	3.33E-06	1.67E-04	1.49E-06	6.67E-05	5.00E-05	6.67E-05	3.33E-05	1.42E-05	       NA	1.67E-04	5.24E-06	6.67E-05	1.64E-05	1.33E-04	3.38E-05	1.11E-06	5.16E-05	1.33E-04	0.004734	7.53E-06	6.41E-06	6.67E-05	3.96E-06	2.75E-05	2.62E-06	1.64E-05	1.32E-05	2.40E-07	2.00E-04	7.20E-07	       NA	      NA	3.33E-05	8.34E-08	3.33E-05	3.33E-05	3.33E-05	1.62E-05	      NA	      NA	      NA	      NA	      NA	MAX	   NA	      NA	      NA	      NA	MAX
ZR75B	6.67E-05	3.33E-05	2.77E-05	1.84E-05	1.05E-04	7.60E-07	3.33E-04	1.39E-07	3.33E-05	1.89E-03	2.25E-04	3.13E-05	1.48E-04	2.00E-06	3.33E-05	2.92E-03	1.67E-04	       NA	       NA	6.26E-04	1.00E-05	2.10E-05	1.89E-05	7.17E-07	8.53E-05	7.29E-07	2.84E-05	1.67E-04	1.00E-03	6.67E-05	       NA	6.85E-07	1.19E-05	5.00E-05	6.52E-06	6.54E-06	2.03E-06	1.00E-04	1.33E-04	3.33E-05	4.92E-04	1.45E-04	3.33E-05	5.00E-03	6.67E-05	1.50E-03	2.36E-07	1.25E-06	7.29E-06	1.00E-04	3.76E-06	3.33E-06	       NA	1.28E-06	3.33E-05	5.00E-05	3.33E-05	5.00E-05	       NA	       NA	1.67E-04	5.47E-07	6.67E-05	1.00E-04	1.33E-04	2.55E-05	4.01E-07	1.00E-04	1.40E-05	0.00536	       NA	5.99E-06	       NA	       NA	       NA	1.46E-05	1.48E-04	1.67E-04	5.50E-07	       NA	6.67E-05	0.00745	7.20E-06	      NA	       NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	      NA	MAX
LY2	6.67E-05	3.33E-05	2.56E-05	1.44E-05	3.33E-04	1.66E-08	3.33E-04	6.58E-07	6.48E-07	1.89E-03	2.81E-04	1.17E-08	2.50E-05	1.87E-07	2.82E-07	2.92E-03	       NA	       NA	8.02E-06	1.53E-04	3.81E-07	2.81E-05	1.55E-05	1.94E-07	4.16E-05	4.55E-07	3.33E-05	9.39E-05	       NA	6.67E-05	3.03E-07	6.85E-07	4.06E-06	5.00E-05	5.02E-07	1.47E-06	2.18E-06	1.00E-04	1.33E-04	1.71E-05	4.59E-04	7.22E-03	3.16E-06	8.08E-06	3.33E-05	1.65E-04	       NA	3.77E-07	7.33E-06	5.00E-05	7.78E-07	3.33E-06	1.11E-04	3.05E-06	3.33E-05	5.00E-05	3.33E-05	       NA	       NA	1.19E-05	1.67E-04	2.42E-08	1.91E-06	2.80E-06	9.73E-07	3.22E-05	1.05E-05	       NA	3.60E-06	0.001753	7.52E-06	2.61E-06	6.67E-05	1.22E-05	8.74E-06	5.31E-06	9.85E-05	1.67E-04	5.50E-07	9.79E-07	6.67E-05	       NA	7.20E-06	      NA	4.20E-07	      NA	      NA	      NA	1.42E-05	      NA	      NA	      NA	3.33E-05	      NA	MAX	   NA	      NA	      NA	      NA	MAX
HCC70	1.90E-05	3.33E-05	3.23E-05	2.35E-05	3.26E-05	2.78E-07	3.33E-04	4.05E-09	1.46E-08	1.89E-03	8.29E-05	1.88E-08	2.36E-06	1.24E-07	       NA	2.92E-03	1.67E-04	9.49E-06	7.05E-06	2.24E-05	1.13E-08	8.32E-06	2.05E-05	8.19E-07	1.81E-05	6.88E-06	1.80E-05	1.67E-04	7.34E-05	2.39E-07	8.06E-10	6.85E-07	6.75E-06	5.00E-05	8.43E-07	6.22E-06	1.24E-06	1.67E-04	1.33E-04	1.44E-05	2.27E-04	1.45E-04	3.23E-06	3.38E-03	3.33E-05	1.50E-03	1.40E-07	1.13E-07	7.68E-06	5.00E-05	4.40E-07	      NA	1.67E-04	9.50E-07	6.67E-05	5.00E-05	3.33E-05	3.33E-05	2.15E-06	6.67E-05	1.07E-04	1.26E-07	1.83E-06	2.11E-06	1.30E-05	3.21E-05	8.33E-07	1.00E-04	1.96E-05	0.002154	4.97E-06	2.47E-06	6.67E-05	5.06E-06	8.51E-06	2.87E-07	1.36E-05	9.67E-06	1.60E-07	       NA	1.07E-07	0.00137	      NA	3.33E-05	       NA	3.33E-05	3.33E-05	3.33E-05	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	      NA	MAX
MDAMB468D	6.67E-05	3.33E-05	2.29E-05	3.48E-05	4.95E-06	2.24E-07	3.33E-04	3.05E-08	1.05E-08	1.89E-03	3.79E-04	4.90E-09	       NA	       NA	3.33E-05	2.92E-03	1.67E-04	3.33E-05	1.45E-05	       NA	3.51E-09	       NA	3.12E-05	       NA	       NA	       NA	       NA	1.14E-04	8.07E-05	5.14E-06	1.41E-08	       NA	3.19E-05	5.00E-05	4.51E-06	1.63E-05	3.25E-06	1.00E-04	1.33E-04	3.33E-05	       NA	       NA	3.33E-05	5.00E-03	6.67E-05	2.48E-04	3.41E-07	4.43E-07	6.55E-06	1.00E-04	1.15E-06	3.33E-06	       NA	       NA	3.33E-05	5.00E-05	3.33E-05	1.48E-05	1.00E-04	2.76E-06	       NA	       NA	6.67E-05	1.63E-05	1.33E-04	3.45E-05	       NA	1.00E-04	8.89E-05	0.00462	2.94E-06	9.00E-06	1.33E-04	6.67E-05	2.47E-05	6.71E-07	2.16E-05	2.47E-05	1.53E-07	       NA	4.16E-07	0.0010853	      NA	3.33E-05	       NA	3.33E-05	3.33E-05	      NA	       NA	      NA	      NA	      NA	3.33E-05	      NA	      NA	   NA	      NA	      NA	      NA	MAX
T47DKBLUC	6.67E-05	3.33E-05	3.60E-05	7.55E-06	1.07E-05	5.67E-08	3.33E-04	7.93E-07	3.75E-08	1.89E-03	1.58E-04	1.24E-06	       NA	       NA	       NA	2.92E-03	1.67E-04	3.33E-05	8.70E-06	       NA	2.80E-08	       NA	3.33E-05	       NA	       NA	       NA	       NA	1.67E-04	5.92E-05	6.08E-05	2.12E-08	       NA	1.92E-05	5.00E-05	7.94E-06	5.92E-06	3.33E-06	1.67E-04	1.33E-04	8.07E-05	       NA	       NA	3.33E-05	5.00E-03	3.33E-05	3.65E-04	2.60E-07	2.46E-07	       NA	5.00E-05	       NA	3.33E-06	       NA	       NA	6.67E-05	3.33E-05	3.33E-05	       NA	5.00E-05	6.67E-05	       NA	       NA	6.67E-05	3.33E-05	       NA	6.67E-05	       NA	1.00E-04	5.99E-05	0.00397	5.32E-06	4.16E-06	1.33E-04	3.88E-05	2.32E-05	1.13E-06	1.24E-05	7.58E-06	5.50E-07	2.00E-04	4.19E-07	0.00233	      NA	      NA	5.57E-08	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	      NA	MAX
BT20	3.19E-05	3.33E-05	2.75E-05	3.27E-05	8.69E-06	5.75E-07	3.33E-04	5.41E-08	       NA	1.89E-03	5.12E-04	7.85E-09	       NA	       NA	3.14E-05	2.92E-03	1.67E-04	1.67E-04	2.09E-05	       NA	       NA	       NA	1.09E-05	       NA	       NA	       NA	       NA	1.67E-04	1.49E-04	5.75E-06	1.56E-08	6.85E-07	1.66E-05	5.00E-05	5.76E-06	6.61E-06	1.03E-05	9.62E-05	1.33E-04	2.63E-05	       NA	       NA	3.33E-05	2.77E-03	3.08E-05	8.54E-05	8.17E-07	6.34E-07	1.08E-05	6.90E-05	3.71E-06	3.33E-06	       NA	       NA	3.33E-05	5.00E-05	6.67E-05	4.62E-05	5.98E-05	4.02E-07	       NA	       NA	6.67E-05	2.61E-06	1.33E-04	       NA	       NA	1.00E-04	3.02E-05	0.009573	5.81E-06	6.70E-06	2.04E-05	       NA	1.23E-05	4.89E-07	6.70E-05	5.45E-05	4.59E-07	1.49E-06	9.15E-08	       NA	7.20E-06	3.33E-05	       NA	3.33E-05	3.33E-05	      NA	       NA	6.67E-05	3.33E-05	3.33E-05	3.33E-05	1.33E-04	      NA	   NA	      NA	      NA	      NA	MAX
MDAMB436D	6.67E-05	3.33E-05	5.28E-05	5.12E-05	3.18E-05	8.12E-07	3.33E-04	6.45E-08	       NA	1.89E-03	2.48E-03	3.95E-05	       NA	       NA	3.33E-05	2.92E-03	1.67E-04	       NA	1.09E-05	       NA	       NA	       NA	8.26E-06	       NA	       NA	       NA	       NA	1.67E-04	1.89E-04	6.67E-05	2.22E-08	       NA	2.54E-05	5.00E-05	4.08E-06	7.11E-06	2.62E-05	1.67E-04	1.33E-04	8.50E-06	       NA	       NA	3.33E-05	5.00E-03	3.33E-05	6.64E-05	1.06E-06	2.41E-07	2.50E-05	5.00E-05	6.84E-07	3.33E-06	       NA	       NA	6.67E-05	5.00E-05	3.33E-05	8.29E-06	5.00E-05	6.67E-05	       NA	       NA	       NA	4.70E-06	1.33E-04	6.67E-05	       NA	1.00E-04	4.01E-05	MAX	5.99E-06	1.27E-05	6.67E-05	       NA	1.26E-05	       NA	       NA	       NA	       NA	       NA	       NA	0.00289	      NA	3.33E-05	9.18E-08	3.33E-05	3.33E-05	3.33E-05	2.67E-05	      NA	      NA	      NA	3.33E-05	      NA	MAX	   NA	      NA	      NA	      NA	MAX
MX1	3.50E-05	3.33E-05	3.91E-05	2.87E-05	3.95E-06	4.87E-07	3.33E-04	9.96E-09	       NA	1.89E-03	2.54E-04	1.05E-07	       NA	       NA	3.49E-06	2.92E-03	1.67E-04	3.33E-05	1.00E-05	       NA	       NA	       NA	1.19E-05	       NA	       NA	       NA	       NA	3.75E-05	       NA	6.38E-07	1.43E-08	       NA	5.17E-06	2.04E-06	2.24E-07	1.04E-06	7.76E-07	2.74E-05	1.33E-04	5.04E-07	       NA	       NA	3.33E-05	3.37E-03	2.66E-05	2.87E-04	6.14E-08	1.86E-07	6.53E-06	1.00E-04	3.16E-07	3.33E-06	       NA	       NA	3.33E-05	3.41E-06	1.23E-05	1.18E-05	1.26E-06	4.69E-05	       NA	       NA	3.41E-06	1.05E-06	1.02E-06	7.24E-06	       NA	3.33E-05	1.41E-05	0.000854	       NA	6.32E-07	       NA	1.14E-05	       NA	1.30E-06	1.29E-05	1.23E-05	5.36E-07	4.36E-06	4.80E-07	0.000879	      NA	      NA	3.60E-08	      NA	      NA	      NA	1.20E-05	4.64E-05	3.33E-05	3.33E-05	      NA	      NA	      NA	   NA	      NA	      NA	0.000147	MAX
UACC893D	2.21E-05	3.33E-05	2.66E-05	8.42E-06	6.45E-05	3.72E-07	3.33E-04	8.34E-08	       NA	1.89E-03	9.66E-05	2.81E-08	       NA	       NA	3.33E-05	2.92E-03	1.67E-04	       NA	1.27E-05	       NA	       NA	       NA	9.84E-06	       NA	       NA	       NA	       NA	1.61E-04	1.00E-03	6.57E-07	       NA	       NA	3.39E-06	5.00E-05	2.79E-06	5.00E-06	1.33E-06	1.67E-04	1.33E-04	3.32E-05	       NA	       NA	1.56E-07	1.16E-03	3.19E-05	1.06E-04	6.90E-08	4.54E-07	5.52E-06	       NA	1.16E-06	3.33E-06	       NA	       NA	       NA	       NA	3.33E-05	3.27E-05	5.00E-05	1.77E-05	       NA	       NA	6.67E-05	1.94E-06	1.19E-06	4.50E-05	       NA	       NA	6.06E-06	0.00346	5.12E-06	3.23E-08	1.33E-04	3.79E-07	1.17E-05	1.02E-05	1.21E-05	1.29E-05	1.27E-07	1.28E-04	6.40E-06	0.00264	      NA	      NA	3.95E-07	      NA	      NA	3.33E-05	5.60E-06	      NA	      NA	      NA	3.33E-05	      NA	0.000449	   NA	      NA	      NA	      NA	MAX
SUM225CWN	4.47E-05	3.33E-05	2.14E-05	2.50E-05	8.36E-05	1.26E-07	3.33E-04	3.11E-08	       NA	1.89E-03	3.31E-04	5.00E-06	       NA	       NA	3.33E-05	2.92E-03	1.67E-04	6.95E-06	9.77E-06	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	4.54E-05	1.26E-04	       NA	2.61E-08	       NA	3.95E-06	5.00E-05	2.41E-06	4.23E-06	3.22E-06	1.00E-04	1.33E-04	2.80E-05	       NA	       NA	3.33E-05	1.47E-03	3.93E-05	1.50E-03	2.57E-07	3.00E-07	6.43E-06	1.00E-04	1.85E-06	      NA	       NA	       NA	3.33E-05	3.33E-05	3.33E-05	1.35E-05	8.19E-05	       NA	       NA	       NA	6.67E-05	8.92E-06	1.33E-04	5.97E-05	       NA	1.00E-04	1.71E-05	0.003385	5.02E-06	1.69E-07	1.33E-04	2.34E-06	2.62E-05	       NA	       NA	       NA	       NA	1.33E-04	       NA	       NA	      NA	      NA	       NA	      NA	      NA	      NA	       NA	6.67E-05	3.33E-05	3.33E-05	      NA	1.18E-14	      NA	   NA	      NA	      NA	MAX	MAX
MB157	6.47E-06	3.33E-05	2.58E-05	2.46E-05	5.02E-07	2.21E-07	3.33E-04	2.97E-08	       NA	1.89E-03	4.01E-04	1.36E-08	       NA	       NA	3.33E-05	2.92E-03	       NA	1.67E-04	1.17E-05	       NA	       NA	       NA	       NA	2.55E-07	7.70E-06	1.68E-07	1.13E-05	       NA	1.00E-03	       NA	       NA	       NA	1.55E-05	5.00E-05	4.09E-06	3.77E-06	2.69E-06	1.67E-04	1.33E-04	1.42E-07	       NA	       NA	3.33E-05	5.00E-03	3.33E-05	3.79E-04	2.81E-07	3.82E-07	2.14E-05	5.00E-05	4.28E-07	      NA	1.67E-04	4.05E-08	6.67E-05	3.33E-05	3.33E-05	3.33E-05	7.42E-07	       NA	       NA	       NA	4.76E-06	1.38E-06	1.33E-04	6.67E-05	       NA	       NA	3.85E-05	MAX	       NA	3.65E-07	       NA	6.67E-05	       NA	       NA	       NA	       NA	       NA	2.00E-04	       NA	       NA	      NA	      NA	       NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	      NA	MAX
MDAMB468L	6.67E-05	5.06E-06	1.56E-05	2.32E-05	2.87E-05	2.98E-07	3.33E-04	1.00E-08	       NA	      NA	       NA	4.42E-09	       NA	       NA	1.94E-05	       NA	1.67E-04	1.88E-05	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	      NA	       NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	      NA	       NA
MDAMB436L	6.67E-05	3.33E-05	3.97E-05	7.61E-05	1.29E-05	9.79E-07	3.33E-04	1.04E-08	       NA	1.89E-03	9.87E-04	       NA	       NA	       NA	1.28E-05	2.92E-03	1.67E-04	       NA	8.15E-05	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	6.81E-05	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	      NA	       NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	      NA	       NA
UACC893L	1.11E-05	3.74E-06	5.65E-04	3.88E-06	2.73E-05	2.24E-07	6.68E-05	4.96E-09	       NA	1.89E-03	4.40E-05	3.51E-09	       NA	       NA	1.21E-06	       NA	2.11E-05	       NA	7.33E-06	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	3.46E-05	3.33E-04	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	1.20E-05	       NA	6.67E-05	       NA	1.30E-05	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	1.85E-08	       NA	      NA	5.71E-06	      NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	      NA	       NA
UACC812	3.33E-05	3.33E-05	2.75E-05	1.97E-05	       NA	       NA	       NA	       NA	1.03E-08	1.89E-03	1.80E-04	1.45E-05	7.25E-06	1.76E-08	       NA	2.92E-03	       NA	1.67E-04	       NA	2.98E-05	1.45E-08	4.27E-06	3.33E-05	1.50E-08	7.47E-06	1.75E-07	9.58E-07	8.81E-05	       NA	1.56E-05	       NA	6.85E-07	1.08E-05	5.00E-05	4.39E-06	5.27E-06	6.54E-06	1.00E-04	1.33E-04	3.21E-05	1.80E-04	2.16E-08	2.83E-06	9.59E-04	6.67E-05	2.40E-04	3.08E-07	3.84E-07	3.60E-05	1.00E-04	1.73E-06	3.33E-06	       NA	3.82E-07	3.33E-05	3.33E-05	6.67E-05	3.48E-05	4.93E-05	1.09E-07	       NA	2.13E-06	6.67E-05	9.79E-06	2.05E-06	4.65E-05	       NA	3.33E-05	8.22E-06	0.00848	9.54E-06	3.07E-08	1.33E-04	5.52E-05	1.45E-05	2.65E-06	1.43E-05	1.74E-05	3.94E-07	1.33E-04	7.26E-07	0.00371	7.20E-06	      NA	1.31E-07	      NA	      NA	      NA	       NA	6.67E-05	3.33E-05	3.33E-05	3.33E-05	1.33E-04	      NA	   NA	      NA	      NA	MAX	MAX
HBL100	6.67E-05	3.33E-05	2.85E-05	       NA	7.22E-06	9.03E-07	3.33E-04	5.39E-08	3.12E-08	      NA	       NA	       NA	2.40E-05	4.78E-08	3.33E-05	       NA	4.30E-05	1.67E-04	7.15E-06	1.84E-04	1.00E-05	1.73E-05	       NA	3.37E-06	9.41E-06	9.49E-08	3.29E-05	       NA	1.04E-04	       NA	       NA	6.85E-07	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	1.80E-02	5.36E-08	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	6.02E-05	4.93E-08	       NA	       NA	      NA	       NA	       NA	       NA	1.67E-04	1.41E-08	       NA	       NA	       NA	       NA	2.58E-07	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	7.20E-06	      NA	       NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	      NA	       NA
21NT	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	3.18E-05	       NA	       NA	       NA	       NA	       NA	       NA	6.67E-05	6.89E-06	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	3.33E-06	       NA	       NA	       NA	       NA	      NA	       NA	       NA	2.29E-05	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	5.54E-07	2.02E-05	1.31E-05	4.72E-07	       NA	1.35E-07	0.00207	      NA	      NA	       NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	      NA	       NA
ZR7530	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	1.07E-07	      NA	       NA	       NA	6.58E-06	8.11E-09	       NA	       NA	       NA	       NA	       NA	5.37E-05	5.10E-09	6.29E-04	3.42E-06	       NA	7.38E-05	4.45E-07	       NA	       NA	       NA	1.23E-06	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	3.33E-06	       NA	       NA	       NA	       NA	      NA	       NA	       NA	1.03E-07	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	       NA	      NA	       NA	       NA	       NA	       NA	       NA	       NA	1.67E-04	1.67E-04	1.93E-10	       NA	       NA	       NA	      NA	      NA	       NA	      NA	      NA	      NA	       NA	      NA	      NA	      NA	      NA	      NA	      NA	   NA	      NA	      NA	      NA	       NA
