HEP3B217	Hep 3B2.1-7	50051	HEP3B
HEPG2	Hep G2	50052	
HGC27	HGC-27	50227	
HHL16	HHL16	50053	
HHL5	HHL5	50054	
HLE	HLE	50228	
HLF	HLF	50015	
HME1	HME1	50056	HTERTHME1
HMVII	HMVII	50229	
HN	HN	50230	
HO1N1	HO-1-N-1	50231	
HO1U1	HO-1-u-1	50232	
HOS	HOS	50233	
HPAC	HPAC	50234	
HPAFII	HPAF-II	50235	
HRT18	HRT-18	50236	
HS257T	Hs 257.T	50237	
HS578T	Hs 578T	50238	
HS588T	Hs 588.T	50239	
HS633T	Hs 633T	50240	
HS683	Hs 683	50241	
HS746T	Hs 746T	50242	
HS766T	Hs 766T	50243	
HSC2	HSC-2	50244	
HSC3	HSC-3	50245	
HSC4	HSC-4	50246	
HT1080	HT 1080	50247	
HT115	HT115	50249	
HT1197	HT-1197	50250	
HT1376	HT 1376	50248	
HT29	HT-29	50251	
HT3	HT-3	50252	
HT55	HT55	50253	
HTCC3	HTC-C3	50254	
HUCCT1	HuCCT1	50255	
HUH1	huH-1	50256	
HUH7	Huh7	50055	
HUO3N1	HuO-3N1	50257	
HUO9	HuO9	50258	
HUO9N2	HuO9N2	50259	
HUPT3	HUP-T3	50260	
HUPT4	HUP-T4	50261	
HUTU80	HUTU-80	50016	
IALM	IA-LM	50017	
IGR1	IGR-1	50262	
IGR37	IGR-37	50263	
IGR39	IGR-39	50264	
IHH4	IHH-4	50265	
IM95	IM-95	50266	
IM95M	IM-95m	50267	
IMR32	IMR-32	50268	
IPC298	IPC-298	50269	
ISHIKAWA	Ishikawa	50018	
ISHIKAWAHERAKLIO02ER	Ishikawa (Heraklio) 02 ER-	50019	
ISTMEL1	IST-MEL1	50020	
J82	J82	50270	
JAR	JAR	50271	
JHH1	JHH-1	50272	
JHH2	JHH-2	50273	
JHH4	JHH-4	50274	
JHH6	JHH-6	50021	
JHH7	JHH-7	50275	
JIMT1	JIMT-1	50276	
KATOIII	KATO III	50022	
KELLY	KELLY	50277	
KG1C	KG-1-C	50278	
KHM3S	KHM-3S	50279	
KHOS240S	KHOS-240S	50281	
KHOS312H	KHOS-312H	50282	
KHOSNP	KHOS/NP	50280	
KMH2	KMH-2	50283	
KMRC1	KMRC-1	50284	
KMRC20	KMRC-20	50023	
KON	KON	50285	
KOSC2CL343	KOSC-2 cl3-43	50286	
KP2	KP-2	50287	
KP3	KP-3	50288	
KP3L	KP-3L	50289	
KP4	KP-4	50290	
KPL1	KPL-1	50291	
KU1919	KU-19-19	50292	
KYSE140	KYSE-140	50024	
KYSE150	KYSE-150	50025	
KYSE180	KYSE-180	50026	
