cell line	type	target	basal level
SK-BR-3	HER2amp	cKit	NaN
T47D	HR+	cKit	NaN
UACC-812	HER2amp	cKit	NaN
UACC-893	HER2amp	cKit	NaN
ZR-75-1	HR+	cKit	NaN
ZR-75-30	HER2amp	cKit	NaN
184B5	TNBC	EphA2	-1.6463
AU-565	HER2amp	EphA2	-2.1768
BT-20	TNBC	EphA2	-2.4195
BT-474	HER2amp	EphA2	-2.7367
BT-483	HR+	EphA2	NaN
BT-549	TNBC	EphA2	-0.54265
CAMA-1	HR+	EphA2	-3.1247
HCC1187	TNBC	EphA2	-2.4264
HCC1395	TNBC	EphA2	-1.8072
HCC1419	HER2amp	EphA2	-1.7021
HCC1428	HR+	EphA2	-3.0772
HCC1500	HR+	EphA2	NaN
HCC1569	HER2amp	EphA2	-1.9371
HCC1806	TNBC	EphA2	-1.3919
HCC1937	TNBC	EphA2	-0.86927
HCC1954	HER2amp	EphA2	-1.5626
HCC202	HER2amp	EphA2	-1.4234
HCC38	TNBC	EphA2	-1.1374
HCC70	TNBC	EphA2	-1.9748
Hs 578T	TNBC	EphA2	-1.0907
MCF 10A	TNBC	EphA2	-1.7583
MCF 10F	TNBC	EphA2	-1.8039
MCF-12A	TNBC	EphA2	-1.7631
MCF7	HR+	EphA2	-1.8571
MDA-MB-134-VI	HR+	EphA2	-3.0798
MDA-MB-157	TNBC	EphA2	-1.1304
MDA-MB-175-VII	HR+	EphA2	-1.843
MDA-MB-231	TNBC	EphA2	-0.93014
MDA-MB-361	HER2amp	EphA2	-2.9866
MDA-MB-415	HR+	EphA2	-2.0732
MDA-MB-436	TNBC	EphA2	-1.1278
MDA-MB-453	TNBC	EphA2	-2.796
MDA-MB-468	TNBC	EphA2	-2.0833
SK-BR-3	HER2amp	EphA2	-2.104
T47D	HR+	EphA2	-2.7355
UACC-812	HER2amp	EphA2	-1.765
UACC-893	HER2amp	EphA2	-1.9646
ZR-75-1	HR+	EphA2	-2.4204
ZR-75-30	HER2amp	EphA2	-2.4997
184B5	TNBC	Src	-0.13731
AU-565	HER2amp	Src	-1.1276
BT-20	TNBC	Src	-0.18264
BT-474	HER2amp	Src	-1.8692
BT-483	HR+	Src	0.68207
BT-549	TNBC	Src	-0.53132
CAMA-1	HR+	Src	-1.2386
HCC1187	TNBC	Src	-0.5421
HCC1395	TNBC	Src	-0.91136
HCC1419	HER2amp	Src	-1.8852
HCC1428	HR+	Src	0.18862
HCC1500	HR+	Src	-0.4044
HCC1569	HER2amp	Src	0.18339
HCC1806	TNBC	Src	-0.81631
HCC1937	TNBC	Src	-0.87576
HCC1954	HER2amp	Src	-0.68791
HCC202	HER2amp	Src	-0.60149
HCC38	TNBC	Src	-0.55196
HCC70	TNBC	Src	-1.1016
Hs 578T	TNBC	Src	-1.0615
MCF 10A	TNBC	Src	-0.46491
MCF 10F	TNBC	Src	-0.95216
MCF-12A	TNBC	Src	-1.0347
MCF7	HR+	Src	-0.90888
MDA-MB-134-VI	HR+	Src	-0.88579
MDA-MB-157	TNBC	Src	-1.0529
MDA-MB-175-VII	HR+	Src	-0.46819
MDA-MB-231	TNBC	Src	-0.64717
MDA-MB-361	HER2amp	Src	-0.99589
MDA-MB-415	HR+	Src	0.55562
MDA-MB-436	TNBC	Src	-1.4174
MDA-MB-453	TNBC	Src	NaN
MDA-MB-468	TNBC	Src	-1.0481
SK-BR-3	HER2amp	Src	-0.75446
T47D	HR+	Src	-0.54655
UACC-812	HER2amp	Src	0.14483
UACC-893	HER2amp	Src	-1.1556
ZR-75-1	HR+	Src	-0.39579
ZR-75-30	HER2amp	Src	-0.6556
184B5	TNBC	TrkA	NaN
AU-565	HER2amp	TrkA	NaN
BT-20	TNBC	TrkA	NaN
BT-474	HER2amp	TrkA	NaN
BT-483	HR+	TrkA	NaN
BT-549	TNBC	TrkA	NaN
CAMA-1	HR+	TrkA	NaN
HCC1187	TNBC	TrkA	NaN
HCC1395	TNBC	TrkA	NaN
HCC1419	HER2amp	TrkA	NaN
HCC1428	HR+	TrkA	NaN
HCC1500	HR+	TrkA	NaN
HCC1569	HER2amp	TrkA	NaN
HCC1806	TNBC	TrkA	NaN
HCC1937	TNBC	TrkA	NaN
HCC1954	HER2amp	TrkA	NaN
HCC202	HER2amp	TrkA	NaN
HCC38	TNBC	TrkA	NaN
HCC70	TNBC	TrkA	NaN
Hs 578T	TNBC	TrkA	NaN
MCF 10A	TNBC	TrkA	NaN
MCF 10F	TNBC	TrkA	NaN
MCF-12A	TNBC	TrkA	NaN
MCF7	HR+	TrkA	NaN
MDA-MB-134-VI	HR+	TrkA	NaN
MDA-MB-157	TNBC	TrkA	NaN
MDA-MB-175-VII	HR+	TrkA	NaN
MDA-MB-231	TNBC	TrkA	NaN
MDA-MB-361	HER2amp	TrkA	NaN
MDA-MB-415	HR+	TrkA	NaN
MDA-MB-436	TNBC	TrkA	NaN
MDA-MB-453	TNBC	TrkA	NaN
MDA-MB-468	TNBC	TrkA	NaN
SK-BR-3	HER2amp	TrkA	NaN
T47D	HR+	TrkA	NaN
UACC-812	HER2amp	TrkA	NaN
UACC-893	HER2amp	TrkA	-3.3658
ZR-75-1	HR+	TrkA	NaN
ZR-75-30	HER2amp	TrkA	NaN
184B5	TNBC	FGFR1	-0.88139
AU-565	HER2amp	FGFR1	-0.76165
BT-20	TNBC	FGFR1	-0.87712
BT-474	HER2amp	FGFR1	-0.74957
BT-483	HR+	FGFR1	-0.48559
BT-549	TNBC	FGFR1	-0.53057
CAMA-1	HR+	FGFR1	-0.89778
HCC1187	TNBC	FGFR1	-0.55333
HCC1395	TNBC	FGFR1	-0.76363
HCC1419	HER2amp	FGFR1	-0.73986
HCC1428	HR+	FGFR1	-0.75391
HCC1500	HR+	FGFR1	-0.68504
HCC1569	HER2amp	FGFR1	-0.66187
HCC1806	TNBC	FGFR1	-0.95294
HCC1937	TNBC	FGFR1	-0.64742
HCC1954	HER2amp	FGFR1	-0.63108
HCC202	HER2amp	FGFR1	-0.57833
HCC38	TNBC	FGFR1	-0.58445
HCC70	TNBC	FGFR1	-0.89331
Hs 578T	TNBC	FGFR1	-0.7869
MCF 10A	TNBC	FGFR1	-0.80292
MCF 10F	TNBC	FGFR1	-0.92285
MCF-12A	TNBC	FGFR1	-0.99591
MCF7	HR+	FGFR1	-0.58169
MDA-MB-134-VI	HR+	FGFR1	-0.73752
MDA-MB-157	TNBC	FGFR1	-0.80068
MDA-MB-175-VII	HR+	FGFR1	-0.61393
MDA-MB-231	TNBC	FGFR1	-0.83764
MDA-MB-361	HER2amp	FGFR1	-0.8985
MDA-MB-415	HR+	FGFR1	-0.63553
MDA-MB-436	TNBC	FGFR1	-0.792
MDA-MB-453	TNBC	FGFR1	-0.57894
MDA-MB-468	TNBC	FGFR1	-0.80003
SK-BR-3	HER2amp	FGFR1	-0.63956
T47D	HR+	FGFR1	-0.70708
UACC-812	HER2amp	FGFR1	-0.53322
UACC-893	HER2amp	FGFR1	-1.0811
ZR-75-1	HR+	FGFR1	-0.7735
ZR-75-30	HER2amp	FGFR1	-0.71198
184B5	TNBC	FGFR2	NaN
AU-565	HER2amp	FGFR2	NaN
BT-20	TNBC	FGFR2	NaN
BT-474	HER2amp	FGFR2	-2.7631
BT-483	HR+	FGFR2	NaN
BT-549	TNBC	FGFR2	NaN
CAMA-1	HR+	FGFR2	NaN
HCC1187	TNBC	FGFR2	-3.3385
HCC1395	TNBC	FGFR2	NaN
HCC1419	HER2amp	FGFR2	NaN
HCC1428	HR+	FGFR2	NaN
HCC1500	HR+	FGFR2	-2.4721
HCC1569	HER2amp	FGFR2	-3.1279
HCC1806	TNBC	FGFR2	-3.6737
HCC1937	TNBC	FGFR2	-3.5113
HCC1954	HER2amp	FGFR2	NaN
HCC202	HER2amp	FGFR2	-2.3809
HCC38	TNBC	FGFR2	-2.8864
HCC70	TNBC	FGFR2	NaN
Hs 578T	TNBC	FGFR2	NaN
MCF 10A	TNBC	FGFR2	NaN
MCF 10F	TNBC	FGFR2	NaN
MCF-12A	TNBC	FGFR2	NaN
MCF7	HR+	FGFR2	NaN
MDA-MB-134-VI	HR+	FGFR2	NaN
MDA-MB-157	TNBC	FGFR2	NaN
MDA-MB-175-VII	HR+	FGFR2	NaN
MDA-MB-231	TNBC	FGFR2	NaN
MDA-MB-361	HER2amp	FGFR2	-2.9611
MDA-MB-415	HR+	FGFR2	-2.7372
MDA-MB-436	TNBC	FGFR2	NaN
MDA-MB-453	TNBC	FGFR2	-2.8256
MDA-MB-468	TNBC	FGFR2	-3.8047
SK-BR-3	HER2amp	FGFR2	-2.8421
T47D	HR+	FGFR2	-2.9318
UACC-812	HER2amp	FGFR2	-3.8792
UACC-893	HER2amp	FGFR2	-2.3589
ZR-75-1	HR+	FGFR2	-3.5003
ZR-75-30	HER2amp	FGFR2	NaN
184B5	TNBC	FGFR3	NaN
AU-565	HER2amp	FGFR3	NaN
BT-20	TNBC	FGFR3	NaN
BT-474	HER2amp	FGFR3	-3.1837
BT-483	HR+	FGFR3	NaN
BT-549	TNBC	FGFR3	NaN
CAMA-1	HR+	FGFR3	NaN
HCC1187	TNBC	FGFR3	NaN
HCC1395	TNBC	FGFR3	NaN
HCC1419	HER2amp	FGFR3	-3.5406
HCC1428	HR+	FGFR3	NaN
HCC1500	HR+	FGFR3	-3.248
HCC1569	HER2amp	FGFR3	-3.0052
HCC1806	TNBC	FGFR3	-3.2868
HCC1937	TNBC	FGFR3	-3.0722
HCC1954	HER2amp	FGFR3	NaN
HCC202	HER2amp	FGFR3	-3.4492
HCC38	TNBC	FGFR3	NaN
HCC70	TNBC	FGFR3	NaN
Hs 578T	TNBC	FGFR3	NaN
MCF 10A	TNBC	FGFR3	-3.4862
MCF 10F	TNBC	FGFR3	NaN
MCF-12A	TNBC	FGFR3	NaN
MCF7	HR+	FGFR3	NaN
MDA-MB-134-VI	HR+	FGFR3	NaN
MDA-MB-157	TNBC	FGFR3	NaN
MDA-MB-175-VII	HR+	FGFR3	NaN
MDA-MB-231	TNBC	FGFR3	NaN
MDA-MB-361	HER2amp	FGFR3	NaN
MDA-MB-415	HR+	FGFR3	-3.4715
MDA-MB-436	TNBC	FGFR3	NaN
MDA-MB-453	TNBC	FGFR3	NaN
MDA-MB-468	TNBC	FGFR3	NaN
SK-BR-3	HER2amp	FGFR3	NaN
T47D	HR+	FGFR3	NaN
UACC-812	HER2amp	FGFR3	NaN
UACC-893	HER2amp	FGFR3	-2.0849
ZR-75-1	HR+	FGFR3	-3.6929
ZR-75-30	HER2amp	FGFR3	-2.716
184B5	TNBC	FGFR4	NaN
AU-565	HER2amp	FGFR4	NaN
BT-20	TNBC	FGFR4	NaN
BT-474	HER2amp	FGFR4	-2.6692
BT-483	HR+	FGFR4	-1.7806
BT-549	TNBC	FGFR4	NaN
CAMA-1	HR+	FGFR4	-2.3802
HCC1187	TNBC	FGFR4	NaN
HCC1395	TNBC	FGFR4	NaN
HCC1419	HER2amp	FGFR4	-2.8332
HCC1428	HR+	FGFR4	-2.2776
HCC1500	HR+	FGFR4	-3.5099
HCC1569	HER2amp	FGFR4	NaN
HCC1806	TNBC	FGFR4	NaN
HCC1937	TNBC	FGFR4	NaN
HCC1954	HER2amp	FGFR4	NaN
HCC202	HER2amp	FGFR4	-3.5974
HCC38	TNBC	FGFR4	NaN
HCC70	TNBC	FGFR4	NaN
Hs 578T	TNBC	FGFR4	NaN
MCF 10A	TNBC	FGFR4	NaN
MCF 10F	TNBC	FGFR4	NaN
MCF-12A	TNBC	FGFR4	NaN
MCF7	HR+	FGFR4	NaN
MDA-MB-134-VI	HR+	FGFR4	NaN
MDA-MB-157	TNBC	FGFR4	NaN
MDA-MB-175-VII	HR+	FGFR4	NaN
MDA-MB-231	TNBC	FGFR4	NaN
MDA-MB-361	HER2amp	FGFR4	NaN
MDA-MB-415	HR+	FGFR4	-2.4468
MDA-MB-436	TNBC	FGFR4	NaN
MDA-MB-453	TNBC	FGFR4	-1.1826
MDA-MB-468	TNBC	FGFR4	NaN
SK-BR-3	HER2amp	FGFR4	NaN
T47D	HR+	FGFR4	NaN
UACC-812	HER2amp	FGFR4	NaN
UACC-893	HER2amp	FGFR4	-2.6885
ZR-75-1	HR+	FGFR4	-3.3145
ZR-75-30	HER2amp	FGFR4	-3.8379
184B5	TNBC	EpCAM	-1.3579
AU-565	HER2amp	EpCAM	-0.56566
BT-20	TNBC	EpCAM	-0.47181
BT-474	HER2amp	EpCAM	-1.0004
BT-483	HR+	EpCAM	-0.37737
BT-549	TNBC	EpCAM	NaN
CAMA-1	HR+	EpCAM	-1.1362
HCC1187	TNBC	EpCAM	-0.79987
HCC1395	TNBC	EpCAM	NaN
HCC1419	HER2amp	EpCAM	-0.47165
HCC1428	HR+	EpCAM	-0.77761
HCC1500	HR+	EpCAM	-0.90199
HCC1569	HER2amp	EpCAM	-0.96848
HCC1806	TNBC	EpCAM	-0.65616
HCC1937	TNBC	EpCAM	-0.28054
HCC1954	HER2amp	EpCAM	-0.4542
HCC202	HER2amp	EpCAM	-0.0035085
HCC38	TNBC	EpCAM	-0.11721
HCC70	TNBC	EpCAM	-0.61791
Hs 578T	TNBC	EpCAM	NaN
MCF 10A	TNBC	EpCAM	-2.015
MCF 10F	TNBC	EpCAM	-0.75973
MCF-12A	TNBC	EpCAM	-1.2296
MCF7	HR+	EpCAM	-0.15004
MDA-MB-134-VI	HR+	EpCAM	-0.9746
MDA-MB-157	TNBC	EpCAM	NaN
MDA-MB-175-VII	HR+	EpCAM	-1.3518
MDA-MB-231	TNBC	EpCAM	-1.9538
MDA-MB-361	HER2amp	EpCAM	-0.54704
MDA-MB-415	HR+	EpCAM	-0.28151
MDA-MB-436	TNBC	EpCAM	-2.3442
MDA-MB-453	TNBC	EpCAM	-0.41741
MDA-MB-468	TNBC	EpCAM	-0.24358
SK-BR-3	HER2amp	EpCAM	-0.4938
T47D	HR+	EpCAM	-0.7786
UACC-812	HER2amp	EpCAM	-0.57048
UACC-893	HER2amp	EpCAM	-0.023096
ZR-75-1	HR+	EpCAM	-0.58445
ZR-75-30	HER2amp	EpCAM	-1.2369
184B5	TNBC	pErk (RnD)	-3.9179
AU-565	HER2amp	pErk (RnD)	-3.3855
BT-20	TNBC	pErk (RnD)	-3.9518
BT-474	HER2amp	pErk (RnD)	-3.7708
BT-483	HR+	pErk (RnD)	NaN
BT-549	TNBC	pErk (RnD)	-3.3222
CAMA-1	HR+	pErk (RnD)	NaN
HCC1187	TNBC	pErk (RnD)	-3.8074
HCC1395	TNBC	pErk (RnD)	NaN
HCC1419	HER2amp	pErk (RnD)	-3.2029
HCC1428	HR+	pErk (RnD)	-3.9633
HCC1500	HR+	pErk (RnD)	-3.6161
HCC1569	HER2amp	pErk (RnD)	-3.2424
HCC1806	TNBC	pErk (RnD)	NaN
HCC1937	TNBC	pErk (RnD)	NaN
HCC1954	HER2amp	pErk (RnD)	-3.6731
HCC202	HER2amp	pErk (RnD)	-3.0248
HCC38	TNBC	pErk (RnD)	-3.5904
HCC70	TNBC	pErk (RnD)	-3.3744
Hs 578T	TNBC	pErk (RnD)	NaN
MCF 10A	TNBC	pErk (RnD)	NaN
MCF 10F	TNBC	pErk (RnD)	-3.9068
MCF-12A	TNBC	pErk (RnD)	NaN
MCF7	HR+	pErk (RnD)	NaN
MDA-MB-134-VI	HR+	pErk (RnD)	-4.1427
MDA-MB-157	TNBC	pErk (RnD)	NaN
MDA-MB-175-VII	HR+	pErk (RnD)	-3.0701
MDA-MB-231	TNBC	pErk (RnD)	-3.6192
MDA-MB-361	HER2amp	pErk (RnD)	NaN
MDA-MB-415	HR+	pErk (RnD)	NaN
MDA-MB-436	TNBC	pErk (RnD)	-3.7291
MDA-MB-453	TNBC	pErk (RnD)	-3.7242
MDA-MB-468	TNBC	pErk (RnD)	-4.0155
SK-BR-3	HER2amp	pErk (RnD)	-3.715
T47D	HR+	pErk (RnD)	-3.6481
UACC-812	HER2amp	pErk (RnD)	-2.8949
UACC-893	HER2amp	pErk (RnD)	-2.7724
ZR-75-1	HR+	pErk (RnD)	-4.0697
ZR-75-30	HER2amp	pErk (RnD)	-2.6879
184B5	TNBC	pErk (CST)	-3.0046
AU-565	HER2amp	pErk (CST)	-2.7345
BT-20	TNBC	pErk (CST)	-3.3684
BT-474	HER2amp	pErk (CST)	-3.172
BT-483	HR+	pErk (CST)	-3.2028
BT-549	TNBC	pErk (CST)	-2.6896
CAMA-1	HR+	pErk (CST)	-3.3207
HCC1187	TNBC	pErk (CST)	-3.1948
HCC1395	TNBC	pErk (CST)	-2.846
HCC1419	HER2amp	pErk (CST)	-2.3151
HCC1428	HR+	pErk (CST)	-3.6806
HCC1500	HR+	pErk (CST)	-3.6305
HCC1569	HER2amp	pErk (CST)	-3.4161
HCC1806	TNBC	pErk (CST)	-3.3727
HCC1937	TNBC	pErk (CST)	-2.6714
HCC1954	HER2amp	pErk (CST)	-3.0225
HCC202	HER2amp	pErk (CST)	-2.1153
HCC38	TNBC	pErk (CST)	-3.0687
HCC70	TNBC	pErk (CST)	-3.5417
Hs 578T	TNBC	pErk (CST)	-3.3811
MCF 10A	TNBC	pErk (CST)	-3.1523
MCF 10F	TNBC	pErk (CST)	-3.7115
MCF-12A	TNBC	pErk (CST)	-3.8736
MCF7	HR+	pErk (CST)	-3.3909
MDA-MB-134-VI	HR+	pErk (CST)	-2.6037
MDA-MB-157	TNBC	pErk (CST)	-3.0614
MDA-MB-175-VII	HR+	pErk (CST)	-2.0739
MDA-MB-231	TNBC	pErk (CST)	-3.1478
MDA-MB-361	HER2amp	pErk (CST)	-3.1222
MDA-MB-415	HR+	pErk (CST)	-3.0639
MDA-MB-436	TNBC	pErk (CST)	-2.8613
MDA-MB-453	TNBC	pErk (CST)	-2.6854
MDA-MB-468	TNBC	pErk (CST)	-3.2227
SK-BR-3	HER2amp	pErk (CST)	-2.9687
T47D	HR+	pErk (CST)	-3.1522
UACC-812	HER2amp	pErk (CST)	-2.2085
UACC-893	HER2amp	pErk (CST)	-2.4548
ZR-75-1	HR+	pErk (CST)	-3.533
ZR-75-30	HER2amp	pErk (CST)	-2.3571
184B5	TNBC	pAkt	-1.1896
AU-565	HER2amp	pAkt	-0.56314
BT-20	TNBC	pAkt	-0.68905
BT-474	HER2amp	pAkt	-0.64569
BT-483	HR+	pAkt	-0.91645
BT-549	TNBC	pAkt	-0.51847
CAMA-1	HR+	pAkt	-0.56791
HCC1187	TNBC	pAkt	-0.60361
HCC1395	TNBC	pAkt	-0.45164
HCC1419	HER2amp	pAkt	-0.24708
HCC1428	HR+	pAkt	-2.4388
HCC1500	HR+	pAkt	-2.3929
HCC1569	HER2amp	pAkt	-0.4241
HCC1806	TNBC	pAkt	-2.218
HCC1937	TNBC	pAkt	-0.52853
HCC1954	HER2amp	pAkt	-0.16817
HCC202	HER2amp	pAkt	-0.35886
HCC38	TNBC	pAkt	-1.1128
HCC70	TNBC	pAkt	-0.54102
Hs 578T	TNBC	pAkt	-0.89303
MCF 10A	TNBC	pAkt	-1.0162
MCF 10F	TNBC	pAkt	-1.1596
MCF-12A	TNBC	pAkt	-1.7679
MCF7	HR+	pAkt	-1.4738
MDA-MB-134-VI	HR+	pAkt	-2.785
MDA-MB-157	TNBC	pAkt	-2.046
MDA-MB-175-VII	HR+	pAkt	-0.52793
MDA-MB-231	TNBC	pAkt	-2.1754
MDA-MB-361	HER2amp	pAkt	-1.2468
MDA-MB-415	HR+	pAkt	0.020561
MDA-MB-436	TNBC	pAkt	-0.53814
MDA-MB-453	TNBC	pAkt	-0.29554
MDA-MB-468	TNBC	pAkt	-0.5684
SK-BR-3	HER2amp	pAkt	-0.58459
T47D	HR+	pAkt	-0.73355
UACC-812	HER2amp	pAkt	-0.68516
UACC-893	HER2amp	pAkt	0.28862
ZR-75-1	HR+	pAkt	-1.4211
ZR-75-30	HER2amp	pAkt	-0.45764
184B5	TNBC	pEGFR	-1.1326
AU-565	HER2amp	pEGFR	-0.10597
BT-20	TNBC	pEGFR	-0.7106
BT-474	HER2amp	pEGFR	-0.90577
BT-483	HR+	pEGFR	-2.498
BT-549	TNBC	pEGFR	-1.7867
CAMA-1	HR+	pEGFR	-3.2949
HCC1187	TNBC	pEGFR	-1.9867
HCC1395	TNBC	pEGFR	-2.5592
HCC1419	HER2amp	pEGFR	-1.0611
HCC1428	HR+	pEGFR	-1.8247
HCC1500	HR+	pEGFR	-2.146
HCC1569	HER2amp	pEGFR	-1.8469
HCC1806	TNBC	pEGFR	-1.9834
HCC1937	TNBC	pEGFR	-2.2819
HCC1954	HER2amp	pEGFR	-0.57234
HCC202	HER2amp	pEGFR	-1.4141
HCC38	TNBC	pEGFR	-2.083
HCC70	TNBC	pEGFR	-1.1099
Hs 578T	TNBC	pEGFR	-2.1288
MCF 10A	TNBC	pEGFR	-1.6955
MCF 10F	TNBC	pEGFR	-1.8571
MCF-12A	TNBC	pEGFR	-0.70841
MCF7	HR+	pEGFR	NaN
MDA-MB-134-VI	HR+	pEGFR	NaN
MDA-MB-157	TNBC	pEGFR	-2.6441
MDA-MB-175-VII	HR+	pEGFR	-3.2672
MDA-MB-231	TNBC	pEGFR	-2.0014
MDA-MB-361	HER2amp	pEGFR	-2.2586
MDA-MB-415	HR+	pEGFR	-2.4585
MDA-MB-436	TNBC	pEGFR	-2.7897
MDA-MB-453	TNBC	pEGFR	-2.108
MDA-MB-468	TNBC	pEGFR	-0.76263
SK-BR-3	HER2amp	pEGFR	-0.4329
T47D	HR+	pEGFR	-2.4341
UACC-812	HER2amp	pEGFR	-1.7816
UACC-893	HER2amp	pEGFR	-0.71315
ZR-75-1	HR+	pEGFR	-2.7779
ZR-75-30	HER2amp	pEGFR	-2.6739
184B5	TNBC	pErbB2	-2.3545
AU-565	HER2amp	pErbB2	0.034618
BT-20	TNBC	pErbB2	-1.9384
BT-474	HER2amp	pErbB2	-0.0032348
BT-483	HR+	pErbB2	-1.6804
BT-549	TNBC	pErbB2	-1.9128
CAMA-1	HR+	pErbB2	-2.1295
HCC1187	TNBC	pErbB2	-1.81
HCC1395	TNBC	pErbB2	NaN
HCC1419	HER2amp	pErbB2	0.38591
HCC1428	HR+	pErbB2	NaN
HCC1500	HR+	pErbB2	-1.9962
HCC1569	HER2amp	pErbB2	-0.32919
HCC1806	TNBC	pErbB2	-2.3398
HCC1937	TNBC	pErbB2	NaN
HCC1954	HER2amp	pErbB2	-0.068404
HCC202	HER2amp	pErbB2	-0.71373
HCC38	TNBC	pErbB2	-2.0764
HCC70	TNBC	pErbB2	NaN
Hs 578T	TNBC	pErbB2	NaN
MCF 10A	TNBC	pErbB2	-2.0913
MCF 10F	TNBC	pErbB2	-2.33
MCF-12A	TNBC	pErbB2	-2.582
MCF7	HR+	pErbB2	NaN
MDA-MB-134-VI	HR+	pErbB2	NaN
MDA-MB-157	TNBC	pErbB2	NaN
MDA-MB-175-VII	HR+	pErbB2	-1.7976
MDA-MB-231	TNBC	pErbB2	-2.4551
MDA-MB-361	HER2amp	pErbB2	-1.1183
MDA-MB-415	HR+	pErbB2	-1.9824
MDA-MB-436	TNBC	pErbB2	NaN
MDA-MB-453	TNBC	pErbB2	-1.0179
MDA-MB-468	TNBC	pErbB2	-2.2263
SK-BR-3	HER2amp	pErbB2	0.076766
T47D	HR+	pErbB2	-1.9531
UACC-812	HER2amp	pErbB2	-0.22547
UACC-893	HER2amp	pErbB2	0.32696
ZR-75-1	HR+	pErbB2	-2.2445
ZR-75-30	HER2amp	pErbB2	-0.0034572
184B5	TNBC	pErbB3	NaN
AU-565	HER2amp	pErbB3	-1.1201
BT-20	TNBC	pErbB3	NaN
BT-474	HER2amp	pErbB3	-1.1892
BT-483	HR+	pErbB3	NaN
BT-549	TNBC	pErbB3	NaN
CAMA-1	HR+	pErbB3	NaN
HCC1187	TNBC	pErbB3	NaN
HCC1395	TNBC	pErbB3	NaN
HCC1419	HER2amp	pErbB3	-0.80319
HCC1428	HR+	pErbB3	NaN
HCC1500	HR+	pErbB3	NaN
HCC1569	HER2amp	pErbB3	-3.1891
HCC1806	TNBC	pErbB3	NaN
HCC1937	TNBC	pErbB3	NaN
HCC1954	HER2amp	pErbB3	-1.7787
HCC202	HER2amp	pErbB3	NaN
HCC38	TNBC	pErbB3	NaN
HCC70	TNBC	pErbB3	NaN
Hs 578T	TNBC	pErbB3	NaN
MCF 10A	TNBC	pErbB3	NaN
MCF 10F	TNBC	pErbB3	NaN
MCF-12A	TNBC	pErbB3	NaN
MCF7	HR+	pErbB3	NaN
MDA-MB-134-VI	HR+	pErbB3	NaN
MDA-MB-157	TNBC	pErbB3	NaN
MDA-MB-175-VII	HR+	pErbB3	-2.0407
MDA-MB-231	TNBC	pErbB3	NaN
MDA-MB-361	HER2amp	pErbB3	NaN
MDA-MB-415	HR+	pErbB3	NaN
MDA-MB-436	TNBC	pErbB3	NaN
MDA-MB-453	TNBC	pErbB3	-2.1205
MDA-MB-468	TNBC	pErbB3	NaN
SK-BR-3	HER2amp	pErbB3	-1.8496
T47D	HR+	pErbB3	NaN
UACC-812	HER2amp	pErbB3	NaN
UACC-893	HER2amp	pErbB3	-1.3977
ZR-75-1	HR+	pErbB3	NaN
ZR-75-30	HER2amp	pErbB3	-1.6781
184B5	TNBC	pErbB4	-2.7108
AU-565	HER2amp	pErbB4	-1.7272
BT-20	TNBC	pErbB4	-2.4854
BT-474	HER2amp	pErbB4	-1.5962
BT-483	HR+	pErbB4	-2.3629
BT-549	TNBC	pErbB4	-1.8378
CAMA-1	HR+	pErbB4	-2.8492
HCC1187	TNBC	pErbB4	-2.8231
HCC1395	TNBC	pErbB4	-3.1653
HCC1419	HER2amp	pErbB4	-0.56314
HCC1428	HR+	pErbB4	-2.3644
HCC1500	HR+	pErbB4	-2.5618
HCC1569	HER2amp	pErbB4	-2.4712
HCC1806	TNBC	pErbB4	-2.9058
HCC1937	TNBC	pErbB4	-2.2983
HCC1954	HER2amp	pErbB4	-1.761
HCC202	HER2amp	pErbB4	-2.0044
HCC38	TNBC	pErbB4	-2.2563
HCC70	TNBC	pErbB4	-2.8108
Hs 578T	TNBC	pErbB4	NaN
MCF 10A	TNBC	pErbB4	-2.0241
MCF 10F	TNBC	pErbB4	-2.4106
MCF-12A	TNBC	pErbB4	-3.1402
MCF7	HR+	pErbB4	NaN
MDA-MB-134-VI	HR+	pErbB4	NaN
MDA-MB-157	TNBC	pErbB4	-2.8518
MDA-MB-175-VII	HR+	pErbB4	-2.0965
MDA-MB-231	TNBC	pErbB4	-2.8636
MDA-MB-361	HER2amp	pErbB4	-3.0958
MDA-MB-415	HR+	pErbB4	-2.5154
MDA-MB-436	TNBC	pErbB4	NaN
MDA-MB-453	TNBC	pErbB4	-2.0085
MDA-MB-468	TNBC	pErbB4	-2.3282
SK-BR-3	HER2amp	pErbB4	-1.2934
T47D	HR+	pErbB4	-2.3526
UACC-812	HER2amp	pErbB4	-1.796
UACC-893	HER2amp	pErbB4	-1.3823
ZR-75-1	HR+	pErbB4	NaN
ZR-75-30	HER2amp	pErbB4	-1.9699
184B5	TNBC	pInsR	-1.1218
AU-565	HER2amp	pInsR	-1.2539
BT-20	TNBC	pInsR	-2.2978
BT-474	HER2amp	pInsR	-1.4767
BT-483	HR+	pInsR	-1.2363
BT-549	TNBC	pInsR	-2.1262
CAMA-1	HR+	pInsR	-1.7024
HCC1187	TNBC	pInsR	NaN
HCC1395	TNBC	pInsR	-2.1387
HCC1419	HER2amp	pInsR	-1.0484
HCC1428	HR+	pInsR	NaN
HCC1500	HR+	pInsR	-1.4514
HCC1569	HER2amp	pInsR	-2.4504
HCC1806	TNBC	pInsR	-2.4206
HCC1937	TNBC	pInsR	-1.5264
HCC1954	HER2amp	pInsR	-1.6409
