cell line	type	target	basal level
MDA-MB-175-VII	HR+	ErbB2	-1.1261
MDA-MB-231	TNBC	ErbB2	-2.0993
MDA-MB-361	HER2amp	ErbB2	-0.67964
MDA-MB-415	HR+	ErbB2	-1.2757
MDA-MB-436	TNBC	ErbB2	-2.5573
MDA-MB-453	TNBC	ErbB2	-0.60726
MDA-MB-468	TNBC	ErbB2	NaN
SK-BR-3	HER2amp	ErbB2	0.15696
T47D	HR+	ErbB2	-1.4475
UACC-812	HER2amp	ErbB2	0.033254
UACC-893	HER2amp	ErbB2	0.53687
ZR-75-1	HR+	ErbB2	-1.2277
ZR-75-30	HER2amp	ErbB2	0.31268
184B5	TNBC	ErbB3	-2.6755
AU-565	HER2amp	ErbB3	-1.5369
BT-20	TNBC	ErbB3	-2.1298
BT-474	HER2amp	ErbB3	-1.5793
BT-483	HR+	ErbB3	-1.0344
BT-549	TNBC	ErbB3	NaN
CAMA-1	HR+	ErbB3	-1.4146
HCC1187	TNBC	ErbB3	-2.4585
HCC1395	TNBC	ErbB3	NaN
HCC1419	HER2amp	ErbB3	-1.3707
HCC1428	HR+	ErbB3	-1.4733
HCC1500	HR+	ErbB3	-1.6697
HCC1569	HER2amp	ErbB3	-1.6209
HCC1806	TNBC	ErbB3	-2.2591
HCC1937	TNBC	ErbB3	-2.6375
HCC1954	HER2amp	ErbB3	-1.7906
HCC202	HER2amp	ErbB3	-1.682
HCC38	TNBC	ErbB3	-1.6134
HCC70	TNBC	ErbB3	-2.0818
Hs 578T	TNBC	ErbB3	NaN
MCF 10A	TNBC	ErbB3	-2.8868
MCF 10F	TNBC	ErbB3	-2.1593
MCF-12A	TNBC	ErbB3	-2.7617
MCF7	HR+	ErbB3	-1.4014
MDA-MB-134-VI	HR+	ErbB3	-1.7694
MDA-MB-157	TNBC	ErbB3	NaN
MDA-MB-175-VII	HR+	ErbB3	-2.032
MDA-MB-231	TNBC	ErbB3	-3.2246
MDA-MB-361	HER2amp	ErbB3	-1.8412
MDA-MB-415	HR+	ErbB3	-1.5036
MDA-MB-436	TNBC	ErbB3	-3.1223
MDA-MB-453	TNBC	ErbB3	-1.5442
MDA-MB-468	TNBC	ErbB3	-2.4149
SK-BR-3	HER2amp	ErbB3	-1.6919
T47D	HR+	ErbB3	-1.5593
UACC-812	HER2amp	ErbB3	-1.9345
UACC-893	HER2amp	ErbB3	-1.6723
ZR-75-1	HR+	ErbB3	-1.5707
ZR-75-30	HER2amp	ErbB3	-1.3112
184B5	TNBC	ErbB4	NaN
AU-565	HER2amp	ErbB4	NaN
BT-20	TNBC	ErbB4	NaN
BT-474	HER2amp	ErbB4	NaN
BT-483	HR+	ErbB4	NaN
BT-549	TNBC	ErbB4	NaN
CAMA-1	HR+	ErbB4	-2.6102
