.	PP Erk	PP Akt	PP EGFR	PP ErbB2	PP ErbB3	PP ErbB4	PP InsR	PP IGF1R	PP IGF2	PP VEGFR1	PP VEGFR2	PP VEGFR3	PP PDGFRa	PP PDGFRaRnD	PP PDGFRb	PP Met	PP ckit	PP EphA2	PP Src	PP TrkA	PP FGFR1	PP FGFR2	PP FGFR3	PP FGFR4	PP EpCA	PP pErk(RnD)	PP pErk(CST)	PP pAkt	PP pEGFR	PP pErbB2	PP pErbB3	PP pErbB4	PP pInsR	PP pIGF1R	PP pIGF1R- b	PP pIGF1RY1131	PP pVEGFR1	PP pVEGFR2	PP pVEGFR3	PP pPDGFRa	PP pPDGFRb	PP pMet	PP pckit	PP pEphA2	PP pSrc	PP pTrkA	
HCC1569	-2.907	-1.589	-2.091	0.083	-1.621	-4.831	-4.212	-1.196	-1.677	-3.714	-6.160	-3.714	-3.749	-4.710	-5.201	-1.374	-6.762	-1.937	0.183	-5.795	-0.662	-3.128	-3.005	-6.249	-0.968	-3.242	-3.416	-0.424	-1.847	-0.329	-3.189	-2.471	-2.450	-2.291	-1.809	-2.737	-4.433	-4.883	-3.399	-5.024	-3.872	-2.594	-2.903	-4.647	-3.472	-3.934
HCC1806	-3.498	-1.933	-0.886	-1.856	-2.259	-4.831	-2.805	-2.223	-1.839	-5.125	-6.160	-3.714	-3.749	-4.710	-3.810	-0.576	-2.910	-1.392	-0.816	-5.795	-0.953	-3.674	-3.287	-6.249	-0.656	-4.577	-3.373	-2.218	-1.983	-2.340	-4.284	-2.906	-2.421	-2.788	-2.753	-2.737	-4.433	-4.883	-4.100	-3.285	-3.872	-2.679	-2.903	-4.647	-4.112	-3.934
HCC1937	-2.761	-1.636	-0.899	-1.621	-2.638	-4.831	-2.569	-2.715	-2.033	-5.125	-6.160	-3.714	-3.749	-4.710	-5.201	-0.699	-6.762	-0.869	-0.876	-5.795	-0.647	-3.511	-3.072	-6.249	-0.281	-4.577	-2.671	-0.529	-2.282	-2.652	-4.284	-2.298	-1.526	-4.432	-2.053	-2.737	-4.433	-4.883	-4.100	-5.024	-3.872	-4.786	-2.903	-4.647	-3.921	-3.934
HCC1954	-2.816	-1.534	-1.207	0.307	-1.791	-4.831	-4.212	-2.115	-1.777	-5.125	-6.160	-3.714	-3.749	-4.710	-5.201	-0.200	-4.104	-1.563	-0.688	-5.795	-0.631	-5.683	-4.739	-6.249	-0.454	-3.673	-3.023	-0.168	-0.572	-0.068	-1.779	-1.761	-1.641	-2.304	-2.042	-1.689	-4.433	-4.883	-4.100	-5.024	-3.872	-2.143	-2.903	-3.678	-3.648	-3.934
HCC202	-2.640	-1.077	-1.176	-0.029	-1.682	-4.831	-2.130	-2.516	-1.885	-3.325	-6.160	-3.714	-3.749	-4.710	-3.461	-4.074	-6.762	-1.423	-0.601	-5.795	-0.578	-2.381	-3.449	-3.597	-0.004	-3.025	-2.115	-0.359	-1.414	-0.714	-4.284	-2.004	-1.700	-4.432	-2.042	-2.737	-4.433	-4.883	-4.100	-3.726	-3.872	-4.786	-2.903	-4.647	-3.873	-3.934
HCC38	-2.783	-1.515	-1.398	-1.384	-1.613	-4.831	-2.770	-1.882	-1.821	-3.839	-6.160	-3.714	-3.749	-4.710	-5.201	-1.927	-2.690	-1.137	-0.552	-5.795	-0.584	-2.886	-4.739	-6.249	-0.117	-3.590	-3.069	-1.113	-2.083	-2.076	-4.284	-2.256	-2.715	-2.269	-2.316	-2.737	-4.433	-4.883	-4.100	-5.024	-3.872	-4.786	-2.903	-4.647	-3.865	-3.934
HCC70	-2.730	-1.519	-0.728	-1.733	-2.082	-4.831	-4.212	-2.188	-2.085	-5.125	-6.160	-3.714	-3.293	-4.710	-5.201	-1.087	-2.280	-1.975	-1.102	-5.795	-0.893	-5.683	-4.739	-6.249	-0.618	-3.374	-3.542	-0.541	-1.110	-2.652	-4.284	-2.811	-4.790	-4.432	-3.309	-2.737	-4.433	-4.883	-4.100	-4.055	-3.872	-4.786	-2.903	-4.647	-4.391	-3.934
Hs 578T	-2.978	-1.413	-0.964	-1.940	-4.158	-4.831	-4.212	-2.295	-1.669	-5.125	-6.160	-3.714	-1.483	-1.553	-0.883	-0.686	-6.762	-1.091	-1.061	-5.795	-0.787	-5.683	-4.739	-6.249	-4.074	-4.577	-3.381	-0.893	-2.129	-2.652	-4.284	-4.577	-1.436	-4.432	-3.309	-1.999	-4.433	-4.883	-4.100	-2.377	-2.805	-4.786	-2.903	-4.647	-4.120	-3.934
MCF 10A	-3.376	-1.592	-0.876	-1.759	-2.887	-4.831	-4.212	-1.007	-1.591	-5.125	-6.160	-3.714	-3.749	-4.710	-5.201	-0.629	-6.762	-1.758	-0.465	-5.795	-0.803	-5.683	-3.486	-6.249	-2.015	-4.577	-3.152	-1.016	-1.696	-2.091	-4.284	-2.024	-1.459	-2.170	-1.846	-1.453	-4.433	-4.883	-4.100	-5.024	-3.872	-4.786	-2.903	-4.647	-3.824	-3.934
MCF 10F	-3.361	-1.473	-1.538	-1.503	-2.159	-4.831	-2.866	-2.094	-2.022	-5.125	-6.160	-3.714	-3.749	-4.710	-3.653	-0.398	-6.762	-1.804	-0.952	-5.795	-0.923	-5.683	-4.739	-6.249	-0.760	-3.907	-3.711	-1.160	-1.857	-2.330	-4.284	-2.411	-1.285	-1.793	-1.528	-1.111	-4.433	-4.883	-4.100	-5.024	-3.872	-3.936	-2.903	-4.647	-4.036	-3.934
