RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.589	0.390
Akt	0.679	0.696
EGFR	0.473	0.831
ErbB2	0.889	0.872
ErbB3	0.826	0.889
ErbB4	-1.000	0.743
InsR	0.685	0.886
IGF1R	0.702	0.740
IGF2R	0.527	-1.000
VEGFR1	0.791	-1.000
VEGFR2	-1.000	-1.000
VEGFR3	-1.000	0.871
PDGFRa	-1.000	0.876
PDGFRb	-1.000	-1.000
Met	0.411	0.613
cKit	-1.000	-1.000
EphA2	0.456	-1.000
TrkA	-1.000	0.441
FGFR1	0.557	-1.000
FGFR2	0.878	-1.000
FGFR3	0.586	-1.000
FGFR4	0.707	-1.000

Response (arrows)	Erk	Akt
EGF	0.192	0.172
EPR	0.188	0.143
BTC	0.200	0.410
HRG	0.216	0.451
INS	-0.000	-0.000
IGF-1	0.000	-0.000
IGF-2	0.000	-0.000
PDGF-BB	0.000	-0.000
HGF	0.113	0.057
SCF	0.000	-0.000
FGF-1	0.108	0.000
FGF-2	0.137	0.000
NGF-beta	0.000	-0.000
EFNA1	0.032	0.000
VEGF165	0.000	0.000
