RTK-kinases	Basal value (size)	Phospho (color)
Erk	1.000	0.866
Akt	0.738	0.826
EGFR	-1.000	0.798
ErbB2	0.988	1.000
ErbB3	0.892	1.000
ErbB4	-1.000	1.000
InsR	-1.000	1.000
IGF1R	0.532	0.918
IGF2R	0.769	-1.000
VEGFR1	-1.000	-1.000
VEGFR2	-1.000	0.657
VEGFR3	-1.000	1.000
PDGFRa	-1.000	1.000
PDGFRb	0.399	-1.000
Met	-1.000	0.903
cKit	-1.000	-1.000
EphA2	0.713	1.000
TrkA	-1.000	0.712
FGFR1	0.573	-1.000
FGFR2	-1.000	-1.000
FGFR3	0.452	-1.000
FGFR4	0.674	-1.000

Response (arrows)	Erk	Akt
EGF	0.051	0.129
EPR	0.040	0.000
BTC	0.082	0.275
HRG	0.113	0.352
INS	0.000	0.000
IGF-1	0.000	0.000
IGF-2	0.000	-0.000
PDGF-BB	0.000	0.000
HGF	0.000	0.000
SCF	0.000	-0.000
FGF-1	0.042	0.000
FGF-2	0.036	0.000
NGF-beta	0.000	0.000
EFNA1	0.000	0.000
VEGF165	0.000	0.000
