RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.605	0.451
Akt	0.643	0.240
EGFR	0.650	0.464
ErbB2	0.412	-1.000
ErbB3	-1.000	-1.000
ErbB4	-1.000	0.430
InsR	0.698	0.703
IGF1R	0.333	-1.000
IGF2R	0.489	-1.000
VEGFR1	0.838	-1.000
VEGFR2	-1.000	-1.000
VEGFR3	-1.000	-1.000
PDGFRa	0.112	-1.000
PDGFRb	0.982	-1.000
Met	-1.000	-1.000
cKit	0.933	-1.000
EphA2	0.854	-1.000
TrkA	-1.000	-1.000
FGFR1	0.471	-1.000
FGFR2	-1.000	-1.000
FGFR3	-1.000	-1.000
FGFR4	-1.000	-1.000

Response (arrows)	Erk	Akt
EGF	0.532	0.519
EPR	0.366	0.000
BTC	0.532	0.423
HRG	-0.000	0.000
INS	0.222	0.427
IGF-1	0.249	0.362
IGF-2	0.131	0.277
PDGF-BB	0.493	0.892
HGF	0.255	0.000
SCF	0.473	0.629
FGF-1	0.471	0.000
FGF-2	0.503	0.000
NGF-beta	0.207	0.228
EFNA1	-0.000	0.116
VEGF165	0.065	0.117
