RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.798	0.447
Akt	0.402	0.544
EGFR	0.665	0.582
ErbB2	0.583	0.189
ErbB3	0.815	-1.000
ErbB4	-1.000	0.578
InsR	0.612	0.555
IGF1R	0.673	0.624
IGF2R	0.461	-1.000
VEGFR1	0.527	-1.000
VEGFR2	-1.000	-1.000
VEGFR3	-1.000	-1.000
PDGFRa	-1.000	-1.000
PDGFRb	-1.000	-1.000
Met	0.554	-1.000
cKit	0.808	-1.000
EphA2	0.853	-1.000
TrkA	-1.000	-1.000
FGFR1	0.834	-1.000
FGFR2	0.841	-1.000
FGFR3	-1.000	-1.000
FGFR4	-1.000	-1.000

Response (arrows)	Erk	Akt
EGF	0.509	0.407
EPR	0.488	0.283
BTC	0.500	0.410
HRG	0.463	0.706
INS	0.000	0.079
IGF-1	0.130	0.268
IGF-2	0.000	0.203
PDGF-BB	0.000	0.000
HGF	0.454	0.406
SCF	0.273	0.217
FGF-1	0.466	0.120
FGF-2	0.466	0.104
NGF-beta	0.122	0.000
EFNA1	0.113	-0.000
VEGF165	0.155	0.000
