RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.664	0.254
Akt	0.331	0.768
EGFR	0.492	0.632
ErbB2	0.901	0.765
ErbB3	0.812	0.315
ErbB4	-1.000	0.525
InsR	-1.000	0.625
IGF1R	0.929	0.618
IGF2R	0.571	-1.000
VEGFR1	0.578	-1.000
VEGFR2	-1.000	-1.000
VEGFR3	-1.000	0.375
PDGFRa	-1.000	-1.000
PDGFRb	-1.000	-1.000
Met	0.697	0.790
cKit	-1.000	-1.000
EphA2	0.654	-1.000
TrkA	-1.000	-1.000
FGFR1	0.704	-1.000
FGFR2	0.769	-1.000
FGFR3	0.653	-1.000
FGFR4	-1.000	-1.000

Response (arrows)	Erk	Akt
EGF	0.256	0.270
EPR	0.228	0.243
BTC	0.254	0.384
HRG	0.263	0.403
INS	-0.000	0.000
IGF-1	0.061	0.255
IGF-2	0.055	0.207
PDGF-BB	0.000	0.000
HGF	0.211	0.245
SCF	0.000	0.000
FGF-1	0.194	0.000
FGF-2	0.189	0.000
NGF-beta	0.067	0.000
EFNA1	0.044	0.000
VEGF165	0.130	0.000
