RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.661	0.377
Akt	0.734	0.710
EGFR	0.738	0.603
ErbB2	0.584	0.277
ErbB3	0.544	-1.000
ErbB4	-1.000	0.437
InsR	0.958	-1.000
IGF1R	0.169	-1.000
IGF2R	0.876	-1.000
VEGFR1	0.823	-1.000
VEGFR2	1.000	1.000
VEGFR3	-1.000	-1.000
PDGFRa	0.152	0.664
PDGFRb	0.385	-1.000
Met	-1.000	-1.000
cKit	1.000	-1.000
EphA2	0.533	-1.000
TrkA	-1.000	-1.000
FGFR1	0.886	-1.000
FGFR2	0.705	-1.000
FGFR3	-1.000	-1.000
FGFR4	-1.000	-1.000

Response (arrows)	Erk	Akt
EGF	0.543	0.434
EPR	0.534	0.311
BTC	0.543	0.404
HRG	0.438	0.257
INS	0.000	0.435
IGF-1	0.109	0.351
IGF-2	0.108	0.400
PDGF-BB	0.000	0.000
HGF	0.323	0.000
SCF	0.475	0.322
FGF-1	0.541	0.415
FGF-2	0.544	0.430
NGF-beta	0.113	0.000
EFNA1	0.064	0.000
VEGF165	0.000	0.000
