RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.822	0.668
Akt	0.286	0.734
EGFR	0.789	0.540
ErbB2	0.532	-1.000
ErbB3	0.487	-1.000
ErbB4	-1.000	0.568
InsR	0.697	0.872
IGF1R	0.363	-1.000
IGF2R	0.299	-1.000
VEGFR1	-1.000	-1.000
VEGFR2	-1.000	-1.000
VEGFR3	-1.000	-1.000
PDGFRa	-1.000	-1.000
PDGFRb	-1.000	-1.000
Met	0.871	-1.000
cKit	-1.000	-1.000
EphA2	0.919	-1.000
TrkA	-1.000	-1.000
FGFR1	0.728	-1.000
FGFR2	0.653	-1.000
FGFR3	0.628	-1.000
FGFR4	-1.000	-1.000

Response (arrows)	Erk	Akt
EGF	0.534	0.573
EPR	0.511	0.461
BTC	0.529	0.573
HRG	0.465	0.644
INS	0.274	0.474
IGF-1	0.274	0.472
IGF-2	0.178	0.407
PDGF-BB	0.078	0.000
HGF	0.537	0.528
SCF	0.000	0.000
FGF-1	0.469	0.203
FGF-2	0.410	0.000
NGF-beta	0.233	0.174
EFNA1	0.137	0.000
VEGF165	0.131	0.167
