RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.590	0.107
Akt	0.781	0.113
EGFR	0.663	0.637
ErbB2	0.577	-1.000
ErbB3	0.859	-1.000
ErbB4	0.861	0.551
InsR	-1.000	-1.000
IGF1R	0.777	-1.000
IGF2R	0.541	-1.000
VEGFR1	0.716	-1.000
VEGFR2	-1.000	0.844
VEGFR3	-1.000	-1.000
PDGFRa	-1.000	-1.000
PDGFRb	0.377	-1.000
Met	-1.000	0.832
cKit	-1.000	-1.000
EphA2	0.372	-1.000
TrkA	-1.000	-1.000
FGFR1	0.549	-1.000
FGFR2	-1.000	-1.000
FGFR3	-1.000	-1.000
FGFR4	0.784	-1.000

Response (arrows)	Erk	Akt
EGF	0.664	0.000
EPR	0.616	0.000
BTC	0.673	0.000
HRG	0.683	0.691
INS	0.000	0.299
IGF-1	0.222	0.228
IGF-2	0.106	0.169
PDGF-BB	-0.000	0.000
HGF	0.125	0.137
SCF	0.000	0.199
FGF-1	0.634	0.000
FGF-2	0.653	0.000
NGF-beta	0.327	0.336
EFNA1	0.239	0.132
VEGF165	0.200	0.187
