RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.187	0.281
Akt	0.214	0.682
EGFR	0.920	0.872
ErbB2	0.562	0.235
ErbB3	0.649	0.000
ErbB4	0.000	0.521
InsR	0.479	0.666
IGF1R	0.805	0.392
IGF2R	0.000	0.000
VEGFR1	0.000	0.000
VEGFR2	0.000	0.000
VEGFR3	0.000	0.000
PDGFRa	0.000	0.000
PDGFRb	0.000	0.936
Met	0.868	0.000
cKit	0.000	0.000
EphA2	0.535	0.000
TrkA	0.000	0.000
FGFR1	0.343	0.000
FGFR2	0.000	0.000
FGFR3	0.000	0.000
FGFR4	0.000	0.000

Response (arrows)	Erk	Akt
EGF	0.503	0.181
EPR	0.502	0.228
BTC	0.499	0.220
HRG	0.471	0.267
INS	0.194	0.050
IGF-1	0.171	0.160
IGF-2	0.000	0.100
PDGF-BB	0.163	0.041
HGF	0.495	0.236
SCF	0.000	0.000
FGF-1	0.400	0.070
FGF-2	0.279	0.037
NGF-beta	0.239	0.084
EFNA1	0.158	0.073
VEGF165	0.201	0.000
