RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.822	0.668
Akt	0.286	0.734
EGFR	0.789	0.540
ErbB2	0.532	0.000
ErbB3	0.487	0.000
ErbB4	0.000	0.568
InsR	0.697	0.872
IGF1R	0.363	0.524
IGF2R	0.299	0.000
VEGFR1	0.000	0.000
VEGFR2	0.000	0.000
VEGFR3	0.000	0.000
PDGFRa	0.000	0.000
PDGFRb	0.000	0.000
Met	0.871	0.000
cKit	0.000	0.000
EphA2	0.919	0.000
TrkA	0.000	0.000
FGFR1	0.728	0.000
FGFR2	0.653	0.000
FGFR3	0.628	0.000
FGFR4	0.000	0.000

Response (arrows)	Erk	Akt
EGF	0.541	0.573
EPR	0.518	0.461
BTC	0.536	0.573
HRG	0.471	0.644
INS	0.278	0.474
IGF-1	0.278	0.472
IGF-2	0.180	0.407
PDGF-BB	0.079	0.000
HGF	0.544	0.528
SCF	0.000	0.000
FGF-1	0.475	0.203
FGF-2	0.415	0.000
NGF-beta	0.236	0.174
EFNA1	0.138	0.000
VEGF165	0.132	0.167
