RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.661	0.377
Akt	0.734	0.710
EGFR	0.738	0.603
ErbB2	0.584	0.277
ErbB3	0.544	0.000
ErbB4	0.000	0.437
InsR	0.958	0.000
IGF1R	0.169	0.000
IGF2R	0.876	0.000
VEGFR1	0.823	1.000
VEGFR2	1.000	0.000
VEGFR3	0.000	0.664
PDGFRa	0.152	0.000
PDGFRb	0.385	0.000
Met	0.000	0.000
cKit	1.000	0.000
EphA2	0.533	0.000
TrkA	0.000	0.000
FGFR1	0.886	0.000
FGFR2	0.705	0.000
FGFR3	0.000	0.000
FGFR4	0.000	0.000

Response (arrows)	Erk	Akt
EGF	0.550	0.434
EPR	0.541	0.311
BTC	0.550	0.404
HRG	0.444	0.257
INS	0.000	0.435
IGF-1	0.110	0.351
IGF-2	0.110	0.400
PDGF-BB	0.000	0.000
HGF	0.327	0.000
SCF	0.481	0.322
FGF-1	0.548	0.415
FGF-2	0.551	0.430
NGF-beta	0.114	0.000
EFNA1	0.065	0.000
VEGF165	0.000	0.000
