RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.983	0.450
Akt	0.440	0.913
EGFR	0.000	0.503
ErbB2	0.607	0.220
ErbB3	0.850	0.000
ErbB4	0.000	0.514
InsR	0.691	0.903
IGF1R	0.517	0.710
IGF2R	0.480	0.000
VEGFR1	0.792	0.000
VEGFR2	0.000	0.000
VEGFR3	0.000	0.765
PDGFRa	0.000	0.000
PDGFRb	0.399	0.000
Met	0.522	0.000
cKit	0.868	0.000
EphA2	0.621	0.000
TrkA	0.000	0.000
FGFR1	0.748	0.000
FGFR2	0.886	0.000
FGFR3	0.478	0.000
FGFR4	0.750	0.000

Response (arrows)	Erk	Akt
EGF	0.000	0.000
EPR	-0.000	0.000
BTC	0.608	0.174
HRG	0.641	0.273
INS	0.000	0.000
IGF-1	-0.000	0.000
IGF-2	-0.000	0.000
PDGF-BB	0.000	0.000
HGF	0.445	0.000
SCF	0.311	0.000
FGF-1	0.608	0.150
FGF-2	0.595	0.143
NGF-beta	0.287	0.000
EFNA1	0.212	0.152
VEGF165	0.301	0.141
