RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.590	0.107
Akt	0.781	0.113
EGFR	0.663	0.637
ErbB2	0.577	0.000
ErbB3	0.859	0.000
ErbB4	0.861	0.551
InsR	0.000	0.000
IGF1R	0.777	0.364
IGF2R	0.541	0.000
VEGFR1	0.716	0.844
VEGFR2	0.000	0.000
VEGFR3	0.000	0.000
PDGFRa	0.000	0.000
PDGFRb	0.377	0.832
Met	0.000	0.000
cKit	0.000	0.000
EphA2	0.372	0.000
TrkA	0.000	0.000
FGFR1	0.549	0.000
FGFR2	0.000	0.000
FGFR3	0.000	0.000
FGFR4	0.784	0.000

Response (arrows)	Erk	Akt
EGF	0.673	0.000
EPR	0.624	0.000
BTC	0.682	0.000
HRG	0.692	0.691
INS	0.000	0.299
IGF-1	0.225	0.228
IGF-2	0.107	0.169
PDGF-BB	-0.000	0.000
HGF	0.126	0.137
SCF	0.000	0.199
FGF-1	0.643	0.000
FGF-2	0.662	0.000
NGF-beta	0.331	0.336
EFNA1	0.242	0.132
VEGF165	0.202	0.187
