RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.309	0.362
Akt	0.190	0.721
EGFR	1.000	0.861
ErbB2	0.000	0.140
ErbB3	0.558	0.000
ErbB4	0.969	0.560
InsR	0.855	0.779
IGF1R	0.477	0.446
IGF2R	0.163	0.000
VEGFR1	0.628	0.000
VEGFR2	0.808	0.000
VEGFR3	0.000	0.701
PDGFRa	0.000	0.000
PDGFRb	0.369	0.463
Met	0.857	0.000
cKit	0.577	0.000
EphA2	0.618	1.000
TrkA	0.000	0.000
FGFR1	0.472	0.000
FGFR2	0.565	0.000
FGFR3	0.000	0.000
FGFR4	0.000	0.000

Response (arrows)	Erk	Akt
EGF	0.318	0.293
EPR	0.320	0.289
BTC	0.325	0.278
HRG	0.229	0.323
INS	0.064	0.209
IGF-1	0.042	0.190
IGF-2	0.039	0.196
PDGF-BB	0.055	0.000
HGF	0.310	0.306
SCF	0.000	0.050
FGF-1	0.180	0.062
FGF-2	0.164	0.073
NGF-beta	0.105	0.058
EFNA1	0.000	0.000
VEGF165	0.000	0.047
