RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.730	0.706
Akt	0.262	0.000
EGFR	0.275	0.000
ErbB2	0.467	0.000
ErbB3	0.765	0.000
ErbB4	0.000	0.000
InsR	0.000	0.000
IGF1R	0.759	0.447
IGF2R	0.516	0.000
VEGFR1	0.000	0.000
VEGFR2	0.000	0.000
VEGFR3	0.000	0.687
PDGFRa	0.000	0.000
PDGFRb	0.407	0.000
Met	0.000	0.000
cKit	0.000	0.000
EphA2	0.371	0.000
TrkA	0.000	0.000
FGFR1	0.577	0.000
FGFR2	0.000	0.000
FGFR3	0.000	0.000
FGFR4	0.000	0.000

Response (arrows)	Erk	Akt
EGF	0.000	0.000
EPR	-0.000	0.000
BTC	-0.000	0.000
HRG	0.187	0.350
INS	0.000	0.231
IGF-1	0.000	0.248
IGF-2	0.000	0.115
PDGF-BB	0.000	0.000
HGF	0.000	0.000
SCF	0.000	0.121
FGF-1	0.252	0.000
FGF-2	0.253	0.000
NGF-beta	0.097	0.120
EFNA1	0.000	0.118
VEGF165	0.099	0.224
