RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.605	0.451
Akt	0.643	0.240
EGFR	0.650	0.464
ErbB2	0.412	0.000
ErbB3	0.000	0.000
ErbB4	0.000	0.430
InsR	0.698	0.703
IGF1R	0.333	0.000
IGF2R	0.489	0.000
VEGFR1	0.838	0.000
VEGFR2	0.000	0.000
VEGFR3	0.000	0.000
PDGFRa	0.112	0.000
PDGFRb	0.982	0.000
Met	0.000	0.000
cKit	0.933	0.000
EphA2	0.854	0.000
TrkA	0.000	0.000
FGFR1	0.471	0.000
FGFR2	0.000	0.000
FGFR3	0.000	0.000
FGFR4	0.000	0.000

Response (arrows)	Erk	Akt
EGF	0.539	0.519
EPR	0.371	0.000
BTC	0.539	0.423
HRG	-0.000	0.000
INS	0.225	0.427
IGF-1	0.252	0.362
IGF-2	0.133	0.277
PDGF-BB	0.500	0.892
HGF	0.259	0.000
SCF	0.480	0.629
FGF-1	0.477	0.000
FGF-2	0.510	0.000
NGF-beta	0.210	0.228
EFNA1	-0.000	0.116
VEGF165	0.066	0.117
