RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.454	0.563
Akt	0.109	0.731
EGFR	0.632	0.433
ErbB2	0.329	0.000
ErbB3	0.332	0.000
ErbB4	0.000	0.000
InsR	0.000	0.000
IGF1R	0.627	0.476
IGF2R	0.811	0.000
VEGFR1	0.722	0.000
VEGFR2	0.000	0.000
VEGFR3	0.000	0.000
PDGFRa	0.000	0.000
PDGFRb	0.000	0.000
Met	0.901	0.000
cKit	0.000	0.000
EphA2	0.855	0.000
TrkA	0.000	0.000
FGFR1	0.485	0.000
FGFR2	0.000	0.000
FGFR3	0.000	0.000
FGFR4	0.000	0.000

Response (arrows)	Erk	Akt
EGF	0.287	0.390
EPR	0.200	0.165
BTC	0.259	0.290
HRG	0.000	0.000
INS	0.070	0.164
IGF-1	0.137	0.328
IGF-2	0.091	0.312
PDGF-BB	0.000	0.000
HGF	0.254	0.389
SCF	0.066	0.000
FGF-1	0.205	0.000
FGF-2	0.270	0.250
NGF-beta	0.121	0.159
EFNA1	0.000	-0.000
VEGF165	0.170	0.302
