RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.649	0.418
Akt	0.733	0.500
EGFR	0.321	0.545
ErbB2	0.736	0.505
ErbB3	0.742	0.000
ErbB4	0.000	0.369
InsR	0.748	0.785
IGF1R	0.703	0.364
IGF2R	0.486	0.000
VEGFR1	0.000	0.000
VEGFR2	0.000	0.000
VEGFR3	0.000	0.594
PDGFRa	0.000	0.000
PDGFRb	0.000	0.000
Met	0.000	0.000
cKit	0.000	0.000
EphA2	0.394	0.000
TrkA	0.000	0.000
FGFR1	0.307	0.000
FGFR2	0.819	0.000
FGFR3	0.000	0.000
FGFR4	0.000	0.000

Response (arrows)	Erk	Akt
EGF	0.318	0.147
EPR	0.214	0.143
BTC	0.338	0.447
HRG	0.413	0.491
INS	-0.000	0.121
IGF-1	0.000	0.338
IGF-2	-0.000	0.299
PDGF-BB	-0.000	-0.000
HGF	-0.000	-0.000
SCF	-0.000	-0.000
FGF-1	0.314	0.000
FGF-2	0.380	0.082
NGF-beta	-0.000	-0.000
EFNA1	0.239	0.144
VEGF165	0.235	0.098
