RTK-kinases	Basal value (size)	Phospho (color)
Erk	0.953	0.977
Akt	0.823	0.789
EGFR	0.720	0.724
ErbB2	0.877	0.638
ErbB3	0.793	0.000
ErbB4	0.000	0.641
InsR	0.884	0.826
IGF1R	0.437	0.529
IGF2R	0.412	0.000
VEGFR1	0.737	0.000
VEGFR2	0.000	0.000
VEGFR3	0.000	0.412
PDGFRa	0.000	0.000
PDGFRb	0.403	0.000
Met	0.000	0.000
cKit	0.000	0.000
EphA2	0.782	0.000
TrkA	0.000	0.000
FGFR1	0.844	0.000
FGFR2	0.993	0.000
FGFR3	0.486	0.000
FGFR4	0.523	0.000

Response (arrows)	Erk	Akt
EGF	0.322	0.000
EPR	0.283	0.000
BTC	0.315	0.077
HRG	0.223	0.097
INS	0.000	-0.000
IGF-1	0.000	0.000
IGF-2	0.000	-0.000
PDGF-BB	0.051	0.000
HGF	0.289	0.000
SCF	0.000	0.000
FGF-1	0.099	0.075
FGF-2	0.114	0.000
NGF-beta	0.071	0.000
EFNA1	0.000	0.073
VEGF165	0.069	0.000
